objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,49,112,14,0
1,2,true,172,208,14,1
1,3,true,85,100,5,0
1,4,true,195,107,4,0
2,1,true,141,17,3,0
2,2,true,137,4,0,0
2,3,true,475,8,0,5
2,4,true,123,10,34,1
2,5,true,98,1,65,1
2,6,true,276,4,11,0
3,1,true,211,2,30,1
3,2,true,246,10,35,0
3,3,true,292,13,23,0
3,4,true,239,60,32,0
3,5,true,147,56,18,1
3,6,true,11,109,11,0
4,1,true,130,407,43,0
4,2,true,132,47,35,0
4,3,true,2,4,0,0
4,4,true,77,40,12,0
4,5,true,212,37,13,0
4,6,true,52,1,0,0
4,7,true,65,7,2,0
5,1,true,236,1,43,1
5,2,true,404,30,3,0
5,3,true,353,0,7,1
5,4,true,406,60,0,0
5,5,true,240,2,0,1
5,6,true,283,13,1,0
5,7,true,169,4,16,0
5,8,true,314,1,2,0
6,1,true,153,1,214,1
6,2,true,204,9,19,1
6,3,true,379,93,26,2
7,1,true,99,52,61,1
7,2,true,109,90,67,1
7,3,true,2,132,35,1
7,4,true,4,0,1,0
8,1,true,278,26,77,0
8,2,true,218,0,95,0
8,3,true,155,1,69,1
8,4,true,255,1,107,1
8,5,true,251,2,13,1
8,6,true,189,22,3,0
8,7,true,122,5,5,0
9,1,true,145,0,32,1
9,2,true,121,0,45,0
9,3,true,208,0,5,0
9,4,true,205,0,107,1
9,5,true,152,1,75,2
9,6,true,164,0,74,1
9,7,true,291,0,18,1
9,8,true,381,77,7,1
10,1,true,343,80,68,0
10,2,true,197,4,64,0
10,3,true,154,3,62,0
10,4,true,112,9,23,1
10,5,true,107,0,0,1
10,6,true,149,0,5,0
10,7,true,416,5,0,0
11,1,true,258,22,102,1
11,2,true,387,77,210,2
11,3,true,0,1,0,0
11,4,true,0,0,0,0
11,5,true,194,0,90,0
11,6,true,418,1,34,1
11,7,true,94,6,20,0
11,8,true,245,3,35,3
11,9,true,312,5,5,0
11,10,true,411,5,3,0
12,1,true,100,12,94,0
12,2,true,100,45,66,1
12,3,true,381,127,0,2
12,4,true,342,100,1,1
12,5,true,192,72,44,1
12,6,true,109,26,7,1
13,1,true,10,7,17,3
13,2,true,146,15,40,1
13,3,true,273,11,70,0
13,4,true,283,38,41,0
13,5,true,175,35,60,2
13,6,true,8,44,99,0
13,7,true,16,22,57,0
