dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,92,1327,0
data002.mat,1,1,15,607,0
data002.mat,2,1,4,884,445
data003.mat,1,1,3,782,0
data004.mat,1,1,13,1038,0
data005.mat,1,1,25,554,125
data006.mat,1,1,27,984,393
data006.mat,2,1,1,898,369
data007.mat,1,1,10,1309,525
data008.mat,1,1,206,684,244
data009.mat,1,1,340,865,79
data009.mat,2,1,206,815,268
data010.mat,1,1,27,607,33
data011.mat,1,0,2,184,250
data011.mat,2,0,5,1,78
data012.mat,1,0,3,159,130
data012.mat,2,1,9,548,101
data013.mat,1,0,5,93,337
data014.mat,1,1,26,576,157
data015.mat,1,1,80,906,251
data016.mat,1,1,8,251,268
data017.mat,1,0,10,104,190
data018.mat,1,0,3,1,45
data019.mat,1,0,120,191,377
data020.mat,1,1,174,481,456
data021.mat,1,0,4,123,7
data022.mat,1,1,94,182,13
data023.mat,1,0,43,133,86
data024.mat,1,1,49,451,7
data024.mat,2,1,179,124,175
data025.mat,1,1,4,220,11
data026.mat,1,1,6,179,73
data026.mat,2,1,70,340,202
data027.mat,1,1,3,281,0
data028.mat,1,1,50,310,205
data029.mat,1,1,2,635,0
data030.mat,1,0,0,107,105
data031.mat,1,1,24,239,350
data032.mat,1,1,67,251,297
data033.mat,1,0,3,5,173
data034.mat,1,1,256,629,343
data035.mat,1,1,0,349,217
data036.mat,1,1,0,182,153
data037.mat,1,0,0,87,1
data038.mat,1,1,12,911,358
data039.mat,1,1,5,1434,214
data040.mat,1,1,8,392,588
data040.mat,2,1,20,744,3623
data040.mat,3,1,1,425,339
data041.mat,1,1,3,337,83
data042.mat,1,1,1,485,43
data042.mat,2,1,12,263,94
data043.mat,1,1,222,931,548
data044.mat,1,1,51,996,476
data044.mat,2,1,55,877,217
data045.mat,1,1,76,947,512
data046.mat,1,0,0,483,47
data047.mat,1,1,14,790,57
data048.mat,1,1,2,680,282
data049.mat,1,1,47,867,287
data050.mat,1,1,0,735,668
data050.mat,2,1,2,359,188
data051.mat,1,1,4,986,355
data052.mat,1,1,48,691,326
data052.mat,2,1,179,250,222
data053.mat,1,1,289,796,813
data053.mat,2,1,181,1553,126
data054.mat,1,1,26,1761,143
data054.mat,2,1,28,601,733
data054.mat,3,1,14,1452,2975
data055.mat,1,1,95,1865,5966
data055.mat,2,0,80,1071,47
data056.mat,1,1,4,1670,2144
data057.mat,1,1,243,1404,1872
data057.mat,2,1,22,854,765
data057.mat,3,1,116,994,276
data058.mat,1,1,4,839,553
data059.mat,1,0,215,1160,4872
data060.mat,1,1,68,1022,876
data061.mat,1,1,5,480,674
data062.mat,1,1,2,624,586
data063.mat,1,1,23,1639,890
data064.mat,1,1,54,1159,529
data065.mat,1,1,87,1097,480
data066.mat,1,1,332,953,1148
data066.mat,2,1,10,1501,10
data067.mat,1,1,141,1851,1122
data068.mat,1,0,1,453,1731
data068.mat,2,0,48,457,337
data069.mat,1,1,20,255,51
data069.mat,2,0,2,31,137
data070.mat,1,0,37,102,89
data070.mat,2,1,0,681,224
data071.mat,1,0,97,295,4
data072.mat,1,1,3,695,313
data073.mat,1,1,5,1116,1279
data074.mat,1,1,79,648,251
data075.mat,1,1,218,938,696
data076.mat,1,1,4,1086,488
