dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,0,145,1
data001.mat,2,1,62,164,0
data002.mat,1,0,0,400,0
data002.mat,2,0,1,184,5
data002.mat,3,1,7,157,4
data002.mat,4,1,1,116,0
data002.mat,5,1,0,206,0
data003.mat,1,1,1,297,7
data003.mat,2,1,0,141,0
data003.mat,3,1,2,315,0
data003.mat,4,1,1,175,1
data004.mat,1,1,0,256,0
data004.mat,2,1,4,343,0
data004.mat,3,1,3,221,7
data005.mat,1,1,6,316,1
data005.mat,2,1,0,66,1
data005.mat,3,1,1,195,1
data005.mat,4,1,2,247,2
data005.mat,5,1,17,162,16
data006.mat,1,1,3,446,1
data006.mat,2,1,0,511,1
data006.mat,3,1,0,338,13
data006.mat,4,1,2,401,4
data007.mat,1,1,7,149,3
data007.mat,2,1,7,105,0
data007.mat,3,1,0,116,10
data007.mat,4,1,1,468,3
data007.mat,5,1,15,132,5
data007.mat,6,1,3,241,3
data008.mat,1,1,5,132,1
data008.mat,2,1,5,270,2
data008.mat,3,1,2,252,0
data008.mat,4,1,3,293,2
data008.mat,5,1,6,179,13
data008.mat,6,1,1,144,8
data009.mat,1,0,1,235,2
data009.mat,2,1,4,558,4
data009.mat,3,0,1,283,3
data009.mat,4,1,2,289,3
data009.mat,5,1,0,398,0
data009.mat,6,1,6,122,1
data009.mat,7,1,4,185,3
data010.mat,1,1,0,174,1
data010.mat,2,1,0,214,0
data010.mat,3,1,0,162,0
data010.mat,4,1,4,128,0
data010.mat,5,1,1,173,4
data010.mat,6,1,3,200,1
data010.mat,7,1,4,346,0
data011.mat,1,1,9,477,8
data011.mat,2,1,3,293,3
data011.mat,3,1,2,486,3
data011.mat,4,1,8,328,5
data011.mat,5,1,2,365,2
