dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data024.mat,1,1,0,143,12,739
data024.mat,2,1,0,41,33,1271
data024.mat,3,1,1,175,105,938
data024.mat,4,1,31,87,120,946
data025.mat,1,0,54,55,254,1160
data025.mat,2,1,1,435,4,820
data025.mat,3,1,0,264,61,958
data026.mat,1,1,7,488,126,816
data026.mat,2,1,9,37,93,999
data026.mat,3,1,0,128,132,801
data026.mat,4,1,4,107,90,677
data027.mat,1,1,6,175,217,770
data027.mat,2,1,0,626,157,1127
data027.mat,3,1,3,260,256,761
data027.mat,4,1,2,141,209,556
data028.mat,1,1,0,400,66,1128
data028.mat,2,1,1,152,128,1076
data029.mat,1,1,0,109,89,837
data029.mat,2,1,2,558,125,814
data029.mat,3,1,4,701,31,1280
data029.mat,4,0,0,241,16,1304
data030.mat,1,1,1,240,116,674
data030.mat,2,1,1,197,153,601
data030.mat,3,1,1,125,193,1128
data031.mat,1,1,6,787,441,937
data031.mat,2,1,0,158,84,988
data031.mat,3,1,0,115,131,1218
data032.mat,1,1,5,26,119,1005
data032.mat,2,1,1,25,87,1239
data032.mat,3,1,3,44,241,981
data033.mat,1,1,0,49,266,757
data033.mat,2,1,5,706,452,1272
data033.mat,3,1,3,73,220,966
data033.mat,4,1,13,302,151,878
data034.mat,1,1,0,77,113,1269
data034.mat,2,1,2,48,339,880
data034.mat,3,1,1,78,254,952
data034.mat,4,1,5,574,385,947
data035.mat,1,1,6,0,58,1108
data035.mat,2,1,3,0,171,757
data036.mat,1,1,4,371,178,532
data036.mat,2,1,1,87,112,1141
data036.mat,3,1,0,17,80,377
data036.mat,4,1,6,303,148,630
data036.mat,5,1,1,81,7,1000
data036.mat,6,1,0,221,49,802
data037.mat,1,1,11,417,199,940
data037.mat,2,1,0,137,37,684
data038.mat,1,1,3,395,317,869
data038.mat,2,1,0,513,120,722
data038.mat,3,1,6,403,140,1038
data038.mat,4,1,0,12,335,952
data038.mat,5,1,0,5,20,723
data039.mat,1,1,1,147,290,751
data039.mat,2,1,0,114,222,798
data039.mat,3,1,2,88,156,850
data039.mat,4,1,1,146,80,812
data040.mat,1,1,1,918,342,1482
data040.mat,2,1,2,743,97,1255
data041.mat,1,1,0,143,79,927
data041.mat,2,1,1,96,12,800
data041.mat,3,1,0,325,16,618
data041.mat,4,1,0,226,155,793
data042.mat,1,1,0,333,55,856
data042.mat,2,1,0,453,258,748
data042.mat,3,1,0,410,41,888
data042.mat,4,1,5,173,101,1275
data043.mat,1,1,1,47,203,713
data043.mat,2,1,0,762,48,1263
data044.mat,1,1,1,7,356,523
data044.mat,2,1,8,7,338,466
data044.mat,3,1,0,34,2,579
data045.mat,1,1,6,1084,1073,1779
data045.mat,2,1,1,745,553,1062
data045.mat,3,1,3,185,67,1105
data045.mat,4,1,2,301,48,615
data046.mat,1,1,6,172,72,732
data046.mat,2,1,2,144,89,666
data046.mat,3,1,22,439,122,1084
data047.mat,1,1,4,153,93,987
data047.mat,2,1,0,316,11,1189
data047.mat,3,1,4,144,252,1207
data048.mat,1,1,0,259,200,732
data048.mat,2,1,0,132,99,953
data048.mat,3,1,0,240,156,820
data049.mat,1,1,2,57,75,1242
data049.mat,2,1,3,57,92,420
data049.mat,3,1,3,50,33,567
data049.mat,4,1,8,261,293,1057
