objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,cy.Threshold
1,1,true,190,0,155,0,1006.8419
1,2,true,111,0,115,0,1340.5199
1,3,true,292,46,287,0,972.6788
1,4,true,199,52,250,0,1688.0724
1,5,true,92,70,94,0,1999.6407
1,6,true,170,112,71,1,958.426
2,1,true,251,203,35,0,658.2335
2,2,true,235,126,33,0,601.0166
2,3,true,217,38,19,0,484.755
2,4,true,120,24,0,0,449.5988
2,5,true,155,33,2,0,538.5588
2,6,true,159,22,7,1,539.2083
2,7,true,117,2,10,0,627.6067
2,8,true,50,2,0,0,589.5073
2,9,true,206,176,35,0,409.3664
3,1,true,107,0,30,1,910.0736
3,2,true,178,0,39,0,573.5032
3,3,true,130,0,0,0,371.0589
3,4,true,91,0,0,0,344.2841
4,1,true,169,1,225,2,1439.0835
4,2,true,175,1,105,1,1594.99
4,3,true,156,201,103,1,1877.9564
4,4,true,224,0,60,0,801.3839
4,5,true,30,110,12,1,1806.0892
4,6,true,137,0,265,1,1561.2983
4,7,true,132,0,107,1,1448.2011
5,1,true,164,138,95,0,1272.2187
5,2,true,159,124,158,1,1131.6887
5,3,true,157,181,170,1,1526.0043
5,4,true,157,41,63,1,656.6353
5,5,true,128,21,45,0,744.5687
6,1,true,248,84,225,0,1278.907
6,2,true,321,209,186,0,1166.6983
6,3,true,228,122,255,0,1561.8252
6,4,true,163,9,152,0,2351.2397
6,5,true,482,0,144,0,1165.3087
6,6,true,293,139,217,0,1235.28
6,7,true,246,50,81,0,944.6441
7,1,true,215,0,112,0,925.9263
7,2,true,169,0,61,0,821.5985
7,3,true,275,35,0,0,776.3908
7,4,true,150,57,62,0,1146.4912
7,5,true,213,0,47,0,577.3077
8,1,true,138,0,42,1,601.0287
8,2,true,174,0,46,0,554.4866
8,3,true,174,0,27,0,951.6323
8,4,true,144,3,194,1,1316.2
8,5,true,243,0,100,0,765.3385
8,6,true,153,0,80,0,1549.7328
9,1,true,111,0,46,0,901.9727
9,2,true,88,1,2,1,1257.1353
9,3,true,147,0,0,0,729.1672
9,4,true,135,0,2,0,671.2837
9,5,true,142,0,0,0,626.3916
9,6,true,186,0,0,0,580.9147
9,7,true,183,0,171,0,1088.0299
9,8,true,192,0,7,0,853.9808
9,9,true,247,0,58,0,939.4913
9,10,true,192,5,50,0,538.9543
