dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data001.mat,1,1,2,22,113,1613
data001.mat,2,1,3,588,571,508
data001.mat,3,0,0,51,3,530
data002.mat,1,1,3,55,1,1501
data002.mat,2,1,9,896,202,867
data002.mat,3,1,2,704,26,763
data002.mat,4,1,1,35,318,405
data002.mat,5,1,0,41,183,431
data002.mat,6,1,0,32,10,483
data002.mat,7,1,2,320,106,696
data003.mat,1,1,0,499,202,768
data003.mat,2,1,0,20,1,487
data003.mat,3,1,9,528,422,1009
data003.mat,4,1,2,622,147,826
data003.mat,5,1,0,479,207,1258
data003.mat,6,1,1,807,3,564
data003.mat,7,0,835,329,1865,122
data004.mat,1,0,44,585,371,563
data004.mat,2,1,1,3,1,921
data004.mat,3,1,1,1,1,1035
data004.mat,4,1,3,214,189,758
data005.mat,1,1,1,295,73,563
data005.mat,2,1,1,698,314,482
data005.mat,3,1,0,808,412,711
data005.mat,4,1,0,678,410,680
data005.mat,5,1,2,638,260,751
data005.mat,6,1,0,83,153,692
data006.mat,1,1,17,130,68,433
data006.mat,2,1,2,25,17,544
data006.mat,3,1,10,132,5,448
data006.mat,4,1,2,70,612,715
data007.mat,1,1,0,280,272,487
data007.mat,2,1,2,426,270,285
data007.mat,3,1,6,109,210,642
data007.mat,4,1,0,197,73,776
data007.mat,5,1,0,119,57,817
data007.mat,6,1,0,210,218,436
data008.mat,1,1,3,588,154,938
data008.mat,2,1,10,163,106,859
data008.mat,3,1,3,383,158,650
data008.mat,4,1,4,164,106,828
data009.mat,1,1,1,1,3,547
data009.mat,2,1,23,110,225,646
data010.mat,1,1,2,158,385,579
data010.mat,2,1,4,251,3,1549
data011.mat,1,1,23,308,607,714
data011.mat,2,1,6,67,252,351
data011.mat,3,1,0,109,432,310
data011.mat,4,1,91,123,266,273
data011.mat,5,1,51,78,177,294
data012.mat,1,1,5,289,637,407
data012.mat,2,1,6,364,166,326
data012.mat,3,1,9,198,514,883
data012.mat,4,1,1,134,280,565
data012.mat,5,1,4,230,32,706
data012.mat,6,1,8,665,359,435
data012.mat,7,1,4,251,460,646
data013.mat,1,1,1,345,921,893
data013.mat,2,1,4,841,338,761
data013.mat,3,1,1,4,249,364
data013.mat,4,1,1,442,321,522
data014.mat,1,1,1,159,370,795
data014.mat,2,1,1,231,425,277
data014.mat,3,1,1,425,116,953
data014.mat,4,1,0,108,283,336
data015.mat,1,0,46,29,2,662
data015.mat,2,1,3,5,0,659
data015.mat,3,1,0,122,243,242
data016.mat,1,1,3,12,11,649
data016.mat,2,1,2,395,439,316
data016.mat,3,1,0,24,0,705
data016.mat,4,1,6,190,550,795
data016.mat,5,1,2,332,277,586
data017.mat,1,1,5,86,92,508
data017.mat,2,1,7,114,182,552
data017.mat,3,1,0,35,103,363
data017.mat,4,1,2,121,82,490
data018.mat,1,1,0,8,1,1312
data018.mat,2,1,0,374,52,637
data018.mat,3,1,0,254,282,420
data018.mat,4,1,0,4,0,712
data018.mat,5,1,0,16,2,1006
data019.mat,1,1,9,179,142,614
data019.mat,2,1,4,252,303,782
data019.mat,3,1,0,0,2,528
data019.mat,4,1,6,133,1,955
data019.mat,5,1,1,81,2,1307
data019.mat,6,1,0,0,0,318
data020.mat,1,1,1,72,1,1417
data020.mat,2,1,3,219,185,927
data020.mat,3,1,2,64,112,388
data020.mat,4,1,0,604,462,1643
data021.mat,1,1,16,20,165,811
data021.mat,2,1,0,152,176,534
data021.mat,3,1,0,137,168,671
data021.mat,4,1,1,524,2,920
data022.mat,1,1,5,408,327,1117
data022.mat,2,1,5,59,28,1001
data022.mat,3,1,1,124,175,550
data022.mat,4,1,1,118,1,1055
data022.mat,5,1,3,526,328,893
data023.mat,1,1,1,273,189,932
data023.mat,2,1,6,91,6,794
data023.mat,3,1,0,512,201,911
data023.mat,4,1,0,246,103,1035
data023.mat,5,1,1,212,54,738
data023.mat,6,1,0,194,72,842
