dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data001.mat,1,1,3,182,168,1032
data001.mat,2,1,0,209,48,1249
data001.mat,3,0,31,563,69,1082
data001.mat,4,1,0,437,24,718
data002.mat,1,1,1,149,115,1719
data002.mat,2,1,2,460,190,421
data002.mat,3,1,0,721,360,1301
data003.mat,1,1,6,204,281,948
data003.mat,2,1,3,104,179,1493
data003.mat,3,1,0,296,214,1060
data004.mat,1,1,5,689,46,1536
data004.mat,2,1,11,302,149,774
data004.mat,3,1,3,399,320,1942
data005.mat,1,1,3,212,73,816
data005.mat,2,1,8,25,83,935
data005.mat,3,1,4,361,811,1388
data005.mat,4,1,1,8,82,1540
data006.mat,1,1,2,115,148,785
data006.mat,2,1,1,213,127,791
data006.mat,3,1,4,29,151,1177
data006.mat,4,0,0,36,118,684
data006.mat,5,1,1,340,91,436
data007.mat,1,1,2,614,360,772
data007.mat,2,1,3,332,123,904
data007.mat,3,1,1,358,82,931
data008.mat,1,1,1,42,5,1239
data009.mat,1,1,0,25,17,1014
data009.mat,2,1,9,66,41,999
data009.mat,3,1,2,598,21,1064
data009.mat,4,1,2,553,38,1066
data010.mat,1,1,2,25,62,1188
data010.mat,2,1,2,169,98,1380
data011.mat,1,1,9,184,28,2488
data011.mat,2,1,2,369,12,2217
data012.mat,1,1,2,6,221,525
data012.mat,2,1,3,10,161,502
data012.mat,3,1,0,8,55,667
data012.mat,4,1,0,371,85,767
data012.mat,5,1,1,539,80,1090
data013.mat,1,1,1,22,82,826
data013.mat,2,1,1,277,128,1125
data014.mat,1,1,2,78,2,3205
data015.mat,1,1,3,45,105,2048
data015.mat,2,1,2,223,103,860
data015.mat,3,1,3,334,109,1667
data016.mat,1,1,5,242,630,871
data016.mat,2,1,2,207,108,1140
data016.mat,3,1,2,510,209,861
data016.mat,4,1,5,404,210,1974
data017.mat,1,1,0,380,61,673
data017.mat,2,1,1,1085,157,1607
data017.mat,3,1,0,74,0,2458
data017.mat,4,1,0,140,104,926
data018.mat,1,1,1,8,0,1051
data018.mat,2,1,0,39,0,1036
data018.mat,3,1,0,3,1,1048
data018.mat,4,1,0,19,0,806
data019.mat,1,1,2,184,29,1687
data019.mat,2,1,0,573,951,1242
data019.mat,3,1,1,270,260,898
data019.mat,4,1,0,456,187,816
data020.mat,1,1,4,216,68,1026
data020.mat,2,1,0,96,26,791
data020.mat,3,1,0,7,5,1067
data020.mat,4,1,0,3,0,1326
data020.mat,5,1,0,233,0,1257
data021.mat,1,0,1,401,4,1521
data021.mat,2,1,0,329,2,824
data021.mat,3,1,1,531,76,1521
data021.mat,4,1,0,460,241,819
data022.mat,1,1,0,0,1,1012
data022.mat,2,1,0,1,0,1093
data022.mat,3,1,0,249,134,872
data022.mat,4,1,0,443,2,1350
data022.mat,5,1,0,164,73,707
data022.mat,6,1,5,207,85,816
data023.mat,1,1,11,834,224,1575
data023.mat,2,1,1,61,233,832
data023.mat,3,1,1,15,225,1067
data023.mat,4,1,15,14,30,692
data024.mat,1,1,2,467,141,1182
data024.mat,2,1,0,888,339,1818
data024.mat,3,1,5,922,81,1804
data024.mat,4,1,4,393,33,1344
data024.mat,5,1,3,228,11,554
data025.mat,1,1,2,271,6,1021
data025.mat,2,1,3,96,0,1338
data025.mat,3,1,1,1,8,1401
data025.mat,4,1,0,1,13,1370
data025.mat,5,1,1,296,176,1001
data026.mat,1,1,1,360,602,1521
data026.mat,2,1,1,360,652,2168
data026.mat,3,1,2,421,15,832
data027.mat,1,1,0,216,106,823
data027.mat,2,1,0,196,74,684
data027.mat,3,1,1,902,550,1516
data028.mat,1,1,5,592,70,1502
data028.mat,2,1,3,1,7,1708
data029.mat,1,1,0,192,139,977
data029.mat,2,1,7,488,335,1294
data029.mat,3,1,0,16,0,1140
data029.mat,4,1,0,51,0,1008
data030.mat,1,1,7,318,9,2369
data030.mat,2,1,4,145,127,1483
data030.mat,3,1,1,475,636,1368
data030.mat,4,1,1,5,4,1096
