objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,49,28,605,1
1,2,true,49,14,367,4
1,3,true,100,43,840,5
2,1,true,12,108,608,7
2,2,true,107,79,1103,7
2,3,true,12,41,580,1
3,1,true,11,78,793,7
3,2,true,32,108,710,6
3,3,true,1,34,1246,3
4,1,true,339,50,1848,5
4,2,true,5,32,2291,5
4,3,true,5,8,1124,0
5,1,true,1,26,899,0
5,2,true,88,66,908,2
5,3,true,299,78,1115,11
5,4,true,8,40,995,4
6,1,true,501,584,1124,1
6,2,true,154,89,492,3
6,3,true,1,15,1086,2
6,4,true,1,28,531,0
6,5,true,88,42,832,3
7,1,true,50,52,750,1
7,2,true,57,120,635,6
7,3,false,1347,42,695,3
7,4,true,0,36,823,1
7,5,true,4,22,1214,4
8,1,true,41,16,1005,3
8,2,true,52,96,909,4
8,3,true,49,135,809,3
9,1,true,190,68,654,3
9,2,true,17,7,785,8
9,3,true,0,15,1240,0
10,1,true,134,16,790,3
10,2,true,0,13,2615,0
10,3,true,13,26,954,16
10,4,true,8,0,513,0
11,1,true,55,7,506,31
11,2,true,25,9,405,18
11,3,true,54,17,618,1
11,4,true,11,28,1679,0
12,1,true,73,85,690,1
12,2,true,45,86,799,0
12,3,true,20,14,669,0
13,1,true,0,30,676,0
13,2,true,75,4,746,3
13,3,true,49,9,679,1
14,1,true,102,72,912,0
14,2,true,62,512,1253,6
14,3,true,29,18,832,1
15,1,true,102,18,711,0
15,2,true,90,9,554,1
15,3,true,88,45,928,1
15,4,true,1,10,746,4
15,5,true,0,4,461,3
16,1,true,75,103,754,2
16,2,true,4,65,1110,1
16,3,true,111,122,546,4
16,4,true,0,13,1205,0
17,1,true,8,135,2121,2
17,2,true,10,45,691,1
17,3,false,0,28,744,0
18,1,true,17,31,941,5
18,2,true,314,42,822,15
18,3,true,125,21,1112,6
18,4,true,54,3,463,3
19,1,true,37,36,981,2
19,2,true,52,10,1016,2
19,3,true,145,106,757,2
20,1,true,26,16,409,2
20,2,true,66,18,507,5
21,1,true,143,320,636,3
21,2,true,87,123,636,1
21,3,true,53,35,569,0
22,1,true,16,98,822,1
22,2,true,22,248,1023,0
23,1,true,148,173,2071,7
23,2,true,140,260,2863,2
24,1,true,7,22,1183,1
24,2,true,260,230,1584,11
24,3,true,212,260,813,8
25,1,true,2,19,944,0
25,2,true,111,58,679,0
25,3,true,2,18,1014,5
26,1,true,28,121,651,5
26,2,true,27,54,244,1
26,3,true,60,54,451,3
27,1,true,173,34,587,0
27,2,true,177,37,672,1
27,3,true,8,12,257,0
27,4,true,13,5,568,6
27,5,false,36,5,415,1
28,1,true,8,16,415,0
28,2,true,17,8,342,2
28,3,true,17,10,307,0
28,4,true,36,79,472,0
29,1,true,20,67,761,1
29,2,true,172,281,1717,1
30,1,true,9,11,484,1
30,2,true,25,34,540,2
30,3,true,16,41,714,7
31,1,true,6,71,1060,10
31,2,true,56,43,797,7
