objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,0,23,121,7
1,2,true,0,29,166,1
1,3,true,63,185,3,3
1,4,true,1,1,1,90
2,1,true,0,0,72,1
2,2,true,0,171,29,0
2,3,true,0,5,7,9
2,4,true,0,0,1,25
3,1,true,0,1,227,26
3,2,true,0,2,28,7
3,3,true,0,0,1,15
3,4,true,0,5,65,7
4,1,true,0,0,92,6
4,2,true,0,0,93,2
4,3,true,14,2,58,4
5,1,true,0,3,139,54
5,2,true,3,1,197,19
5,3,true,0,1,313,113
5,4,true,0,0,26,9
6,1,true,0,0,65,54
6,2,true,0,0,112,17
7,1,true,0,0,89,4
7,2,true,0,0,56,1
7,3,true,0,0,61,1
7,4,true,0,0,57,1
7,5,true,68,430,86,0
7,6,true,7,257,86,2
8,1,true,0,0,110,41
8,2,true,1,0,41,8
9,1,true,0,1,34,17
9,2,true,0,1,46,15
9,3,true,0,1,139,1
10,1,true,3,94,337,2
10,2,true,0,0,172,1
10,3,true,0,0,197,25
11,1,true,0,0,0,10
11,2,true,0,0,139,68
11,3,true,0,0,147,3
11,4,true,7,0,5,1
12,1,true,0,0,122,14
12,2,true,0,0,100,6
12,3,true,0,0,35,52
12,4,false,0,0,3,14
12,5,true,1,0,156,51
13,1,true,0,2,182,75
13,2,true,1,1,101,57
13,3,true,1,0,176,48
13,4,true,1,1,45,0
13,5,true,0,1,12,28
13,6,true,0,0,9,21
14,1,true,0,0,60,0
14,2,true,0,0,31,7
14,3,true,0,0,89,64
15,1,true,0,15,81,2
15,2,true,0,0,47,13
15,3,true,0,0,97,16
16,1,true,46,331,88,8
16,2,true,0,0,77,23
16,3,true,0,0,159,14
16,4,true,0,0,88,5
16,5,true,0,4,44,46
16,6,true,0,0,52,22
17,1,true,0,0,71,14
17,2,true,1,1,46,24
