dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,6,547,51
data003.mat,1,1,0,227,22
data003.mat,2,1,0,169,0
data005.mat,1,1,338,312,78
data005.mat,2,1,91,238,2
data006.mat,1,1,18,343,12
data006.mat,2,1,36,297,16
data006.mat,3,1,141,280,23
data007.mat,1,1,312,404,57
data010.mat,1,1,47,291,10
data011.mat,1,0,187,282,184
data011.mat,2,0,2,193,2
data011.mat,3,1,47,356,2
data011.mat,4,1,293,436,24
data012.mat,1,1,96,699,9
data012.mat,2,1,6,443,12
data014.mat,1,1,295,411,14
data014.mat,2,1,0,263,0
data015.mat,1,1,10,333,1
data015.mat,2,1,53,317,0
data016.mat,1,1,0,299,0
data016.mat,2,1,0,217,0
data017.mat,1,0,0,421,2
data019.mat,1,0,0,363,10
data019.mat,2,1,519,174,22
data020.mat,1,1,0,195,20
data021.mat,1,1,77,182,2
data021.mat,2,0,0,265,22
data022.mat,1,0,0,337,28
data023.mat,1,1,372,407,7
data025.mat,1,1,201,104,35
