objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,130,87,54,3
1,2,true,98,128,41,1
1,3,true,1,149,251,2
1,4,true,0,82,33,3
2,1,true,94,29,109,0
2,2,true,0,5,258,0
2,3,true,18,62,40,1
2,4,true,0,3,87,0
2,5,true,2,29,97,0
3,1,true,13,1,38,0
3,2,true,0,0,118,0
3,3,true,5,11,34,0
3,4,true,2,16,21,0
4,1,true,190,210,93,3
4,2,true,0,0,24,0
5,1,true,2,1,281,0
5,2,true,3,298,207,0
5,3,true,11,68,71,0
6,1,true,32,105,220,4
6,2,true,10,74,314,9
6,3,true,2,13,30,3
7,1,true,1,123,260,3
7,2,true,138,162,238,5
7,3,true,12,0,188,1
7,4,true,0,4,145,1
7,5,true,48,33,145,1
8,1,true,6,16,130,5
8,2,true,1,59,4,2
8,3,true,186,211,95,1
9,1,true,180,105,31,3
9,2,true,358,209,220,7
9,3,true,6,10,7,0
9,4,true,167,221,30,4
9,5,true,19,0,22,0
9,6,true,79,0,0,0
9,7,true,14,49,122,0
9,8,true,13,57,81,0
10,1,true,333,174,407,4
10,2,true,81,103,129,1
10,3,true,90,321,255,50
11,1,true,0,83,139,1
11,2,true,227,181,362,2
12,1,true,214,75,97,6
12,2,true,13,193,292,1
12,3,true,20,40,47,1
12,4,true,97,200,106,4
12,5,true,73,2,184,0
12,6,true,16,0,301,3
12,7,true,1,0,512,13
13,1,true,1,124,33,1
13,2,true,1,30,43,1
13,3,true,89,0,390,0
13,4,true,32,181,88,3
13,5,true,121,5,88,1
13,6,true,85,39,42,0
13,7,true,5,36,5,1
13,8,true,40,107,118,3
13,9,true,42,93,11,7
13,10,true,26,0,2,0
13,11,true,3,158,57,3
13,12,true,4,35,242,0
14,1,true,9,0,20,1
14,2,true,29,84,140,13
14,3,true,1,176,133,3
14,4,true,25,97,49,7
14,5,true,190,241,264,62
14,6,true,2,0,2,4
14,7,true,1,0,43,7
14,8,true,7,98,121,5
14,9,true,1,13,165,3
14,10,true,168,267,170,15
15,1,true,5,219,88,10
15,2,true,13,44,122,1
15,3,true,1,62,32,0
15,4,true,2,210,59,2
15,5,true,244,116,169,3
16,1,true,216,47,422,3
16,2,true,0,19,20,2
16,3,true,20,160,94,1
16,4,true,10,112,270,28
16,5,true,173,220,156,3
16,6,true,0,224,81,2
16,7,true,70,210,342,1
17,1,true,49,1,98,3
17,2,true,54,135,70,30
17,3,true,30,133,49,3
17,4,true,18,137,18,1
17,5,true,179,181,206,2
17,6,true,13,95,61,3
18,1,true,0,204,145,3
18,2,true,1,0,514,22
18,3,true,384,262,157,1
18,4,true,112,183,100,6
19,1,true,293,57,127,2
19,2,true,43,138,63,3
19,3,true,105,190,134,7
19,4,true,56,28,60,8
19,5,true,306,259,252,5
19,6,true,157,107,104,3
20,1,true,51,38,96,2
20,2,true,34,189,87,2
20,3,true,14,80,46,1
20,4,true,0,104,129,3
21,1,true,89,165,190,18
21,2,true,244,195,122,0
21,3,true,0,125,136,5
21,4,true,69,120,28,2
22,1,true,84,190,115,18
22,2,true,258,104,332,1
22,3,true,3,0,60,2
22,4,true,50,40,83,6
