objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,123,0,109,1
1,2,true,15,239,65,1
2,1,true,155,420,314,1
3,1,true,123,393,138,2
3,2,true,8,64,0,1
3,3,true,3,60,1,0
4,1,true,247,280,228,1
4,2,true,254,2,167,1
5,1,true,1,159,130,1
5,2,true,1,52,0,0
7,1,true,110,356,95,1
8,1,true,13,120,83,0
8,2,true,192,119,192,1
9,1,true,100,249,166,0
10,1,true,7,180,56,1
11,1,true,21,272,64,1
12,1,true,33,203,17,0
12,2,true,3,10,1,1
12,3,true,6,181,61,0
14,1,true,8,7,3,2
15,1,true,20,3,124,1
16,1,true,0,1559,0,0
17,1,true,14,163,32,0
17,2,true,37,1353,30,0
18,1,true,4,223,16,0
18,2,true,16,0,22,0
18,3,true,14,2698,34,0
20,1,true,12,6564,1,0
20,2,true,7,2550,27,0
20,3,true,32,2654,73,0
21,1,true,47,1738,3,1
21,2,true,181,410,156,0
22,1,true,17,153,21,1
22,2,true,0,2414,2,1
24,1,true,6,2237,2,0
24,2,true,143,2681,177,0
25,1,true,1,1420,8,0
25,2,true,2,1307,2,0
26,1,true,30,2008,12,1
26,2,true,33,1462,14,0
26,3,true,44,2981,54,1
27,1,true,30,215,25,1
28,1,true,7,1187,76,0
28,2,true,1,1084,37,0
29,1,true,120,538,256,1
30,1,true,3,1053,9,0
30,2,true,0,236,0,0
33,1,true,9,0,16,0
33,2,true,2,0,19,1
33,3,true,7,93,7,1
33,4,true,0,891,2,2
33,5,true,6,2901,45,0
36,1,true,5,96,6,0
36,2,true,7,1934,5,0
37,1,true,203,0,1,0
39,1,true,23,1241,79,0
39,2,true,95,1744,53,0
40,1,true,19,593,11,0
