dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,2,559,1
data001.mat,2,1,18,795,1
data001.mat,3,1,10,210,0
data002.mat,1,1,43,1115,1
data002.mat,2,1,32,1375,2
data003.mat,1,1,184,1212,0
data003.mat,2,1,4,696,0
data003.mat,3,1,1,424,0
data003.mat,4,1,0,303,0
data004.mat,1,1,21,1078,0
data004.mat,2,1,44,695,0
data005.mat,1,1,25,602,4
data005.mat,2,1,5,733,5
data005.mat,3,1,0,622,3
data005.mat,4,1,1,270,1
data005.mat,5,1,1,511,3
data006.mat,1,1,2,737,1
data006.mat,2,1,3,1188,3
data006.mat,3,1,0,643,0
data006.mat,4,1,0,133,0
data007.mat,1,1,56,1061,4
data007.mat,2,1,16,905,0
data007.mat,3,1,11,685,0
data008.mat,1,1,2,537,0
data008.mat,2,1,160,1097,7
data008.mat,3,1,28,704,0
data008.mat,4,1,50,569,0
data009.mat,1,1,28,528,0
data009.mat,2,1,26,1306,7
data009.mat,3,1,4,1452,3
data010.mat,1,1,5,324,0
data010.mat,2,1,3,465,10
data010.mat,3,1,7,709,2
data011.mat,1,1,14,1208,0
data011.mat,2,1,8,675,7
data011.mat,3,1,13,981,7
data012.mat,1,1,4,531,10
data012.mat,2,1,36,829,0
data012.mat,3,1,10,866,32
data013.mat,1,1,10,757,1
data013.mat,2,1,0,686,0
data013.mat,3,1,3,1020,0
data014.mat,1,1,4,721,0
data014.mat,2,1,6,469,0
data014.mat,3,1,3,464,0
data015.mat,1,1,40,626,73
data015.mat,2,1,2,1171,1
data015.mat,3,1,8,448,1
data016.mat,1,1,1,1015,0
data016.mat,2,1,5,457,0
data016.mat,3,1,84,940,36
data017.mat,1,1,13,859,0
data017.mat,2,1,36,873,0
data017.mat,3,1,0,750,0
data018.mat,1,1,2,1276,0
data018.mat,2,1,40,619,0
data018.mat,3,1,8,987,0
data019.mat,1,1,3,358,0
data019.mat,2,1,63,736,9
data019.mat,3,1,2,1125,3
data020.mat,1,1,23,512,0
data020.mat,2,1,68,796,0
data020.mat,3,1,6,450,0
data020.mat,4,1,15,563,3
data021.mat,1,1,3,522,0
data021.mat,2,1,9,467,2
data021.mat,3,1,1,673,0
data022.mat,1,1,2,240,0
data022.mat,2,1,2,424,2
data022.mat,3,1,7,332,3
data023.mat,1,1,2,541,0
data023.mat,2,1,11,599,1
data023.mat,3,1,10,561,6
data024.mat,1,1,39,668,2
data024.mat,2,1,42,847,59
data024.mat,3,1,3,745,0
data025.mat,1,1,4,483,0
data025.mat,2,1,4,768,0
data025.mat,3,1,13,731,1
data026.mat,1,1,25,682,0
data026.mat,2,1,16,950,1
data026.mat,3,1,101,601,0
data026.mat,4,1,1,530,4
data027.mat,1,1,115,603,2
data027.mat,2,1,3,1412,4
data027.mat,3,1,43,764,1
data028.mat,1,1,7,1673,0
data028.mat,2,1,2,855,46
data028.mat,3,1,10,681,1
data029.mat,1,1,9,651,0
data029.mat,2,1,4,1238,0
data029.mat,3,1,1,918,0
data029.mat,4,1,15,593,0
data030.mat,1,1,5,541,3
data030.mat,2,1,5,831,1
data030.mat,3,1,4,510,1
data031.mat,1,1,66,931,0
data031.mat,2,1,1,335,0
data031.mat,3,1,1,305,0
data032.mat,1,1,8,265,0
data032.mat,2,1,39,1252,0
data032.mat,3,1,0,683,1
data033.mat,1,1,138,455,0
data033.mat,2,1,2,358,1
data034.mat,1,1,7,626,1
data034.mat,2,1,0,381,1
data034.mat,3,1,6,663,0
data035.mat,1,1,1,555,3
data035.mat,2,1,0,1048,0
data035.mat,3,1,1,767,0
data036.mat,1,1,3,629,0
data036.mat,2,1,2,1177,0
data037.mat,1,1,3,647,0
data037.mat,2,1,0,811,0
data037.mat,3,1,1,341,0
data037.mat,4,1,3,683,1
data038.mat,1,1,2,735,2
data038.mat,2,1,5,469,0
data039.mat,1,1,84,831,0
data039.mat,2,1,3,376,1
data040.mat,1,1,4,693,2
data040.mat,2,1,1,481,0
data040.mat,3,1,7,386,0
data041.mat,1,1,154,399,0
data041.mat,2,1,18,857,0
