objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,184,429,47,2
1,2,true,148,565,202,1
3,1,true,10,10,312,2
3,2,true,103,103,663,2
5,1,true,0,134,296,3
5,2,true,62,168,92,0
6,1,true,4,6,423,1
6,2,true,168,96,150,1
7,1,true,82,35,314,1
7,2,true,131,18,396,1
8,1,true,164,4,357,2
9,1,true,168,17,294,0
9,2,true,140,57,208,1
9,3,true,139,159,321,0
10,1,true,5,20,2,1
10,2,true,41,69,116,0
10,3,true,50,53,154,0
11,1,true,2,18,191,1
11,2,true,2,17,195,1
11,3,true,24,245,311,3
11,4,true,191,81,156,1
11,5,true,154,142,201,0
11,6,true,213,95,237,0
12,1,true,54,4,48,0
12,2,true,169,249,395,1
12,3,true,30,224,57,0
12,4,true,170,348,335,1
13,1,true,5,144,0,0
13,2,true,98,184,821,0
14,1,true,4,19,123,1
14,2,true,11,12,168,0
14,3,true,18,7,193,0
14,4,true,57,57,218,2
14,5,true,29,4,0,0
15,1,true,59,51,53,0
15,2,true,42,207,88,1
15,3,true,1,63,116,1
16,1,false,10,88,19,1
16,2,true,198,64,161,0
16,3,true,157,75,45,0
16,4,true,400,139,312,0
16,5,true,297,27,194,0
16,6,true,67,7,181,0
16,7,true,3,465,0,1
17,1,true,5,42,73,3
17,2,true,205,94,252,1
17,3,true,155,100,208,0
17,4,true,107,63,288,1
18,1,true,6,50,260,4
18,2,true,1,25,228,1
18,3,true,54,119,19,0
18,4,true,68,104,60,0
19,1,true,441,231,395,1
19,2,true,300,95,234,0
19,3,true,139,116,128,2
19,4,true,244,185,137,1
20,1,true,135,329,173,1
20,2,true,9,174,164,0
20,3,true,21,238,138,0
