dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data001.mat,1,1,0,1,3,0
data002.mat,1,1,0,1,0,0
data005.mat,1,1,0,21,3,0
data005.mat,2,1,0,3,8,0
data007.mat,5,1,0,3,1,0
data007.mat,6,1,0,0,0,0
data014.mat,4,1,0,3,0,0
data016.mat,12,1,0,1,1,0
data016.mat,13,1,0,1,0,0
data011.mat,10,1,0,3,2,2
data014.mat,1,1,0,93,0,2
data016.mat,14,1,0,16,3,2
data014.mat,9,1,0,2,0,3
data016.mat,17,1,0,1,0,3
data003.mat,4,1,0,1,0,4
data016.mat,15,1,0,3,8,4
data016.mat,19,1,0,3,2,4
data003.mat,8,1,0,1,6,5
data014.mat,14,1,0,2,15,5
data018.mat,41,1,0,3,2,5
data010.mat,1,1,0,8,51,6
data013.mat,18,1,0,6,23,6
data018.mat,44,1,0,2,0,6
data011.mat,12,1,0,0,2,7
data014.mat,13,1,0,0,12,7
data016.mat,10,1,0,1,14,7
data016.mat,18,1,0,0,0,7
data018.mat,42,1,0,73,64,7
data005.mat,3,1,0,3,6,8
data009.mat,2,1,0,5,86,8
data009.mat,14,1,1,3,38,8
data014.mat,10,1,0,1,1,8
data017.mat,13,1,0,7,43,8
data018.mat,4,1,0,0,8,8
data011.mat,8,1,0,0,3,9
data016.mat,9,1,0,2,20,9
data003.mat,1,1,0,1,1,10
data013.mat,3,1,0,0,5,10
data018.mat,34,1,0,23,210,10
data018.mat,39,1,0,2,1,10
data018.mat,40,1,0,3,1,11
data003.mat,6,1,0,3,12,12
data011.mat,11,1,0,0,12,12
data013.mat,13,1,1,10,58,12
data014.mat,8,1,0,0,0,12
data006.mat,4,1,3,1,18,13
data018.mat,27,1,0,6,10,13
data017.mat,14,1,0,0,199,14
data018.mat,7,1,2,3,46,14
data003.mat,5,1,1,94,9,15
data011.mat,1,1,0,0,42,15
data018.mat,33,1,0,6,149,15
data017.mat,22,1,0,0,104,17
data009.mat,9,1,0,23,63,18
data018.mat,11,1,0,185,188,18
data008.mat,1,1,0,0,9,19
data016.mat,3,1,0,1,307,19
data018.mat,10,1,0,0,59,19
data009.mat,8,1,0,0,6,20
data017.mat,9,1,0,1,97,20
data007.mat,1,1,0,66,55,21
data007.mat,7,1,0,0,0,21
data016.mat,16,1,5,11,247,21
data013.mat,10,1,4,1,59,22
data016.mat,8,1,0,1,105,23
data016.mat,11,1,0,0,38,23
data018.mat,13,1,1,28,247,23
data018.mat,23,1,0,2,68,23
data006.mat,3,1,1,0,17,24
data007.mat,2,1,0,11,68,24
data009.mat,11,1,0,0,187,25
data017.mat,5,1,2,52,212,25
data018.mat,8,1,0,0,107,25
data018.mat,38,1,0,2,33,25
data011.mat,3,1,0,3,36,26
data013.mat,9,1,0,167,96,26
data018.mat,9,1,1,64,194,26
data011.mat,5,1,0,1,11,27
data013.mat,6,1,1,183,249,27
data017.mat,19,1,0,0,0,27
data009.mat,13,1,0,1,7,28
data013.mat,19,1,0,0,0,28
data018.mat,2,1,0,4,41,28
data018.mat,22,1,0,0,11,28
data007.mat,8,1,0,2,178,29
data009.mat,4,1,1,0,1,29
data016.mat,7,1,0,0,0,29
data018.mat,14,1,0,0,83,30
data018.mat,15,1,0,5,142,30
data011.mat,4,1,0,1,19,31
data008.mat,2,1,0,1,0,32
data011.mat,13,1,0,3,10,32
data017.mat,15,1,0,3,125,32
data018.mat,36,1,0,5,116,32
data018.mat,37,1,0,1,25,32
data014.mat,6,1,0,5,119,33
data017.mat,21,1,0,0,101,33
data018.mat,31,1,0,4,5,33
data006.mat,2,1,0,0,0,34
data013.mat,17,1,0,0,97,34
data014.mat,2,1,0,6,86,34
data007.mat,3,1,0,182,172,35
data009.mat,10,1,0,0,22,35
data013.mat,5,1,0,127,198,35
data013.mat,15,1,0,0,42,35
data013.mat,12,1,0,3,123,36
data016.mat,6,1,0,3,0,36
data003.mat,3,1,0,1,26,37
data013.mat,7,1,0,0,86,37
data003.mat,2,1,0,136,129,39
data009.mat,7,1,0,3,188,39
data016.mat,2,1,1,0,151,39
data017.mat,4,1,0,172,196,39
data013.mat,8,1,0,2,264,40
data014.mat,3,1,0,2,51,40
data008.mat,3,1,0,293,307,41
data013.mat,4,1,0,0,183,42
data018.mat,35,1,0,96,70,42
data006.mat,1,1,0,3,37,43
data018.mat,25,1,0,0,254,43
data007.mat,4,1,0,43,55,45
data018.mat,21,1,0,0,2,45
data013.mat,11,1,0,5,2,46
data017.mat,2,1,0,237,266,46
data018.mat,18,1,0,1,163,46
data009.mat,5,1,0,2,0,49
data014.mat,11,1,0,0,157,49
data018.mat,26,1,0,88,189,50
data018.mat,16,1,0,3,146,51
data014.mat,5,1,0,10,97,52
data013.mat,16,1,1,0,9,54
data013.mat,14,1,0,3,5,55
data009.mat,3,1,0,63,128,56
data017.mat,17,1,0,0,53,56
data018.mat,30,1,0,4,75,56
data009.mat,6,1,0,0,1,57
data018.mat,12,1,0,153,342,58
data011.mat,6,1,0,0,34,59
data013.mat,1,1,0,2,258,59
data013.mat,2,1,0,5,113,59
data014.mat,12,1,0,3,72,59
data017.mat,16,1,2,0,170,59
data010.mat,2,1,0,3,147,60
data011.mat,7,1,0,0,61,62
data016.mat,5,1,0,0,33,63
data017.mat,18,1,0,40,155,64
data017.mat,23,1,0,2,55,65
data018.mat,32,1,0,1,7,66
data017.mat,10,1,0,96,213,67
data018.mat,5,1,0,7,90,68
data016.mat,4,1,0,0,80,69
data011.mat,9,1,0,0,132,71
data017.mat,3,1,1,161,242,71
data017.mat,6,1,0,8,158,74
data009.mat,1,1,0,4,0,75
data018.mat,3,1,0,2,98,75
data018.mat,24,1,0,1,63,77
data003.mat,7,1,0,1,7,79
data014.mat,7,1,20,8,0,81
data018.mat,19,1,0,18,316,81
data018.mat,17,1,0,2,65,84
data017.mat,7,1,0,0,209,86
data016.mat,1,1,1,3,251,87
data018.mat,20,1,0,29,313,94
data018.mat,1,1,0,4,82,96
data017.mat,12,1,4,174,197,98
data017.mat,8,1,0,3,252,101
data009.mat,12,1,3,3,217,104
data017.mat,11,1,0,3,149,112
data018.mat,29,1,1,2,179,121
data017.mat,20,1,0,11,281,152
data018.mat,28,1,0,1,125,171
data017.mat,1,1,0,10,291,219
data011.mat,2,0,0,1,1,1
data018.mat,6,0,0,2,121,20
data018.mat,43,0,0,1,246,87
