objArrayNum,objNum,isGood,ImageFile,cy.RNA,cy.threshold,tmr.RNA,tmr.threshold,GAPDH.RNA,GAPDH.threshold,alexa.RNA,alexa.threshold
1,1,true,cy0100.tif,1,588.9753,103,469.1049,247,130.278,1,375.2371
2,1,true,cy0217.tif,77,475.9561,407,438.9781,161,135.0146,0,412.6185
2,2,true,cy0217.tif,119,405.7968,306,510.7296,194,141.4381,3,446.6501
3,1,true,cy0238.tif,15,398.0526,498,431.9832,233,143.8777,0,514.0681
4,1,true,cy0244.tif,4,678.9557,406,617.0362,299,140.1014,7,518.239
4,2,true,cy0244.tif,4,792.8635,320,483.291,309,147.2284,1,755.2755
5,1,true,cy0246.tif,1,621.3795,330,460.7889,393,144.0285,5,978.7844
5,2,true,cy0246.tif,99,450.1237,557,473.1007,374,141.1935,0,649.1875
6,1,true,cy0298.tif,7,755.4041,250,447.089,390,144.1729,3,577.7627
7,1,true,cy0305.tif,145,534.2055,416,396.5501,338,147.9628,1,716.6413
7,2,true,cy0305.tif,239,386.978,390,640.8861,157,151.8407,0,10521.5554
8,1,true,cy0308.tif,117,435.2904,489,478.267,204,149.1545,2,466.103
9,1,true,cy0309.tif,89,495.1626,556,410.0212,162,155.5473,0,675.4178
9,2,true,cy0309.tif,102,567.9037,1019,523.8834,377,145.6637,0,597.7357
9,3,true,cy0309.tif,51,620.989,659,434.9296,465,147.8538,2,703.4054
10,1,true,cy0361.tif,4,634.6945,383,487.6206,223,154.7937,1,500.0465
10,2,true,cy0361.tif,7,373.9827,357,491.3462,156,136.0807,2,428.9091
11,1,true,cy0369.tif,252,392.9844,321,363.0156,126,145.5113,2,555.8671
12,1,true,cy0372.tif,7,532.041,425,673.9935,393,154.1645,6,612.7379
13,1,true,cy0377.tif,153,472.1896,505,487.4691,313,139.4763,4,823.2714
13,2,true,cy0377.tif,13,383.7198,295,481.4797,131,129.8518,0,949.6218
13,3,true,cy0377.tif,139,499.2545,607,464.8044,234,145.4838,3,649.0169
14,1,true,cy0569.tif,106,461.5875,567,359.5413,298,140.7673,2,485.8425
14,2,true,cy0569.tif,9,455.7682,570,441.2157,233,145.6643,2,740.2712
15,1,true,cy0574.tif,50,283.5901,201,484.372,98,136.0813,0,462.6286
15,2,true,cy0574.tif,8,417.9106,81,381.7165,39,134.6244,1,605.0281
15,3,true,cy0574.tif,48,505.949,216,467.7554,349,154.3048,6,733.3435
16,1,true,cy0632.tif,352,565.1464,784,593.9612,375,139.1965,6,695.4811
16,2,true,cy0632.tif,150,528.0685,514,540.3885,318,144.3206,1,657.1802
17,1,true,cy0706.tif,27,468.5002,185,468.9073,202,162.8886,5,861.9117
18,1,true,cy0708.tif,36,753.1252,512,700.4064,669,155.1253,4,1345.0784
19,1,true,cy0709.tif,116,423.3508,1027,496.2254,407,144.9646,4,649.2433
20,1,true,cy0746.tif,11,501.4155,61,273.0933,24,144.9343,0,480.1121
20,2,true,cy0746.tif,15,606.0284,125,507.2892,132,138.1022,0,553.752
21,1,true,cy0784.tif,148,771.4751,258,478.3489,135,159.2536,5,1189.5495
21,2,true,cy0784.tif,30,708.1951,164,513.845,268,149.4797,5,1126.6154
22,1,true,cy0901.tif,6,465.6714,195,562.7414,203,141.0907,2,862.3003
23,1,true,cy0943.tif,64,549.1053,360,632.6145,258,149.3552,0,865.4224
23,2,true,cy0943.tif,86,393.3958,651,435.2254,294,168.8045,5,1189.1993
24,1,true,cy0961.tif,21,508.5741,320,529.0073,299,156.3043,1,760.3424
25,1,true,cy0962.tif,6,477.0379,140,285.7965,100,143.5764,3,530.2205
26,1,true,cy1032.tif,15,413.2447,285,355.4302,282,147.7404,0,721.0797
