objArrayNum,objNum,isGood,ImageFile,cy.RNA,cy.threshold,tmr.RNA,tmr.threshold,GAPDH.RNA,GAPDH.threshold,alexa.RNA,alexa.threshold
608,1,true,cy660.tif,39,550,747,650,313,140,3,700
613,1,true,cy687.tif,22,550,208,650,525,140,13,700
613,2,true,cy687.tif,185,550,1843,650,849,140,4,700
615,1,true,cy689.tif,37,550,830,650,521,140,5,700
615,2,true,cy689.tif,33,550,1140,650,893,140,1,700
615,3,true,cy689.tif,23,550,331,650,666,140,14,700
617,1,true,cy717.tif,47,550,728,650,623,140,1,700
617,2,true,cy717.tif,14,550,298,650,342,140,1,700
617,3,true,cy717.tif,66,550,1058,650,379,140,3,700
620,1,true,cy720.tif,1,550,261,650,185,140,3,700
620,2,true,cy720.tif,15,550,455,650,379,140,5,700
621,1,true,cy721.tif,71,550,393,650,347,140,12,700
624,1,true,cy724.tif,27,550,243,650,661,140,3,700
624,2,true,cy724.tif,87,550,211,650,691,140,5,700
626,1,true,cy749.tif,13,550,146,650,360,140,4,700
626,2,true,cy749.tif,18,550,155,650,439,140,5,700
628,1,true,cy751.tif,41,550,276,650,284,140,3,700
628,2,true,cy751.tif,26,550,117,650,402,140,4,700
629,1,true,cy752.tif,16,550,118,650,284,140,0,700
629,2,true,cy752.tif,2,550,158,650,234,140,0,700
629,3,true,cy752.tif,58,550,316,650,243,140,2,700
631,1,true,cy754.tif,173,550,505,650,998,140,5,700
633,1,true,cy818.tif,85,564.8448,434,751.3035,348,135.9139,1,1556.5051
633,2,true,cy818.tif,92,639.988,437,425.3651,279,161.5919,3,360.7682
