objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,146,227,22,2
1,2,true,103,21,7,2
1,3,true,3,179,12,1
1,4,true,318,88,14,4
1,5,true,299,18,68,1
1,6,true,260,23,30,0
1,7,true,368,61,34,0
2,1,true,13,201,75,0
2,2,true,24,121,36,0
2,3,true,183,96,54,1
2,4,true,259,206,27,1
3,1,true,7,158,58,2
3,2,true,1,100,90,0
3,3,true,53,313,87,0
3,4,true,174,0,18,4
3,5,true,81,3,12,1
4,1,true,193,30,66,0
4,2,true,167,47,91,0
4,3,true,131,37,39,2
4,4,true,145,10,39,0
4,5,true,132,174,42,1
4,6,true,29,74,43,3
4,7,true,247,8,65,1
4,8,true,143,2,21,2
4,9,true,232,4,25,0
4,10,true,11,58,6,0
6,1,true,162,108,24,0
6,2,true,262,98,57,0
6,3,true,286,85,26,0
6,4,true,386,86,102,0
6,5,true,273,47,46,0
6,6,true,302,70,64,0
6,7,true,1,54,17,0
6,8,true,3,30,11,1
6,9,true,159,41,17,1
6,10,true,100,68,4,0
7,1,true,215,46,65,0
7,2,true,9,252,59,1
7,3,true,15,113,39,1
7,4,true,5,114,6,1
7,5,true,3,79,10,0
8,1,true,126,21,18,0
8,2,true,318,13,39,0
8,3,true,0,8,17,2
8,4,true,10,7,54,0
8,5,true,152,91,57,0
8,6,true,127,125,59,0
8,7,true,13,81,1,0
8,8,true,11,243,2,0
8,9,true,47,116,3,1
8,10,true,13,58,5,1
9,1,true,109,62,24,1
9,2,true,124,169,43,0
9,3,true,138,138,19,0
9,4,true,10,94,14,2
9,5,true,13,88,9,0
9,6,true,46,252,63,0
9,7,true,23,151,42,0
9,8,true,147,136,43,0
9,9,true,155,128,45,0
10,1,true,8,67,56,0
10,2,true,4,43,4,0
10,3,true,1,88,4,0
10,4,true,115,261,93,1
10,5,true,168,236,131,0
11,1,true,22,234,34,1
11,2,true,300,78,138,0
11,3,true,115,119,46,0
11,4,true,211,93,49,2
11,5,true,250,51,60,2
11,6,true,19,471,3,0
11,7,true,32,0,0,1
11,8,true,127,9,4,0
12,1,true,155,24,25,0
12,2,true,136,17,39,0
12,3,true,6,70,11,0
12,4,true,0,30,0,1
12,5,true,198,56,14,0
12,6,true,4,99,7,2
13,1,true,89,9,26,2
13,2,true,117,3,45,1
13,3,true,26,0,24,0
13,4,true,2,0,17,0
13,5,true,206,0,26,0
13,6,true,206,0,15,0
14,1,true,278,34,81,1
14,2,true,234,4,46,0
14,3,true,422,2,42,1
14,4,true,346,1,20,0
14,5,true,133,61,52,0
14,6,true,217,103,70,1
14,7,true,60,243,52,1
14,8,true,47,297,40,0
14,9,true,23,3,5,0
14,10,true,20,19,5,0
15,1,true,0,10,9,0
15,2,true,0,40,14,0
15,3,true,19,0,10,0
15,4,true,0,0,10,0
15,5,true,21,205,21,0
15,6,true,188,78,19,0
15,7,true,107,45,11,0
16,1,true,38,0,6,0
16,2,true,25,0,20,0
16,3,true,0,0,1,0
16,4,true,135,75,62,0
16,5,true,164,155,33,0
16,6,true,140,18,17,1
16,7,true,78,13,13,0
18,1,true,143,22,28,0
18,2,true,63,10,9,1
18,3,true,8,85,32,0
18,4,true,130,185,27,5
18,5,true,179,250,48,7
18,6,true,93,62,47,0
18,7,true,149,100,25,0
19,1,true,279,64,100,0
19,2,true,401,40,97,0
19,3,true,20,8,23,0
19,4,true,149,7,17,0
19,5,true,21,0,16,0
19,6,true,139,1,17,0
19,7,true,161,133,15,0
19,8,true,55,122,20,0
19,9,true,286,65,17,0
19,10,true,283,78,8,0
20,1,true,151,73,78,0
20,2,true,121,56,29,1
20,3,true,13,143,37,0
20,4,true,49,86,53,1
21,1,true,301,308,70,0
21,2,true,155,108,30,0
21,3,true,305,133,61,0
21,4,true,2,0,0,0
21,5,true,2,0,0,0
22,1,true,209,81,68,2
22,2,true,119,41,38,2
22,3,true,19,63,16,1
22,4,true,5,29,30,0
22,5,true,4,48,1,0
23,1,true,1,89,5,0
23,2,true,5,85,3,0
23,3,true,0,35,4,0
23,4,true,0,107,6,0
23,5,true,111,161,28,0
23,6,true,103,222,26,1
23,7,true,175,0,24,1
23,8,true,226,0,20,0
24,1,true,196,126,58,0
24,2,true,209,72,15,0
24,3,true,285,221,24,0
25,1,true,20,0,41,0
25,2,true,13,0,31,0
25,3,true,206,120,29,0
25,4,true,162,93,31,0
