objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,cy.Threshold
1,1,true,199,47,114,2,1207.6595
1,2,true,289,0,56,0,562.7357
1,3,true,239,268,157,1,533.7555
1,4,true,116,321,114,0,427.3892
1,5,true,105,124,294,1,403.1434
1,6,true,200,208,278,7,459.6337
1,7,true,269,278,136,0,471.7261
1,8,true,296,73,244,0,626.4028
1,9,true,191,23,325,0,649.0836
1,10,true,220,18,349,0,480.215
2,1,true,337,254,158,4,539.7639
2,2,true,433,359,117,0,614.6472
2,3,true,208,136,105,0,451.9766
2,4,true,243,183,98,0,548.9947
2,5,true,595,61,316,2,604.6819
2,6,true,222,7,337,0,495.8563
2,7,true,281,221,508,5,455.7954
2,8,true,365,303,271,5,468.694
3,1,true,422,26,118,3,511.6412
3,2,true,388,104,129,1,434.0247
3,3,true,343,188,77,2,748.8998
3,4,true,192,121,59,2,899.1868
3,5,true,391,450,170,2,528.0695
3,6,true,279,50,38,2,396.3367
3,7,true,323,58,109,1,459.1958
3,8,true,251,95,234,0,432.4348
3,9,true,425,107,480,0,798.1713
3,10,true,437,155,365,1,556.166
3,11,true,311,51,229,2,575.9652
3,12,true,444,244,249,2,502.6584
3,13,true,77,29,77,1,407.5011
3,14,true,577,163,106,1,464.6806
4,1,true,218,181,277,0,614.4067
4,2,false,160,105,25,0,473.4033
4,3,true,244,61,261,5,1031.3746
4,4,true,262,52,309,1,960.136
4,5,true,269,27,270,0,402.1874
4,6,true,262,382,338,14,486.3311
4,7,true,277,216,32,2,567.9586
4,8,true,292,294,24,0,391.5699
5,1,true,284,7,234,0,480.8381
5,2,true,179,57,483,12,400.4009
5,3,true,203,73,208,4,361.7428
5,4,true,80,44,60,3,335.3346
5,5,true,347,30,529,0,652.6779
5,6,true,104,2,270,0,393.925
5,7,true,212,165,229,1,716.0443
5,8,true,171,117,212,0,852.1933
5,9,true,267,184,73,1,530.6642
5,10,true,224,178,174,2,445.4945
6,1,true,251,12,352,2,760.2452
6,2,true,332,9,291,3,780.4557
6,3,true,185,75,275,0,550.7576
6,4,true,134,59,305,2,453.3672
6,5,true,170,44,174,0,437.9936
6,6,true,150,64,201,0,477.6894
6,7,true,111,174,161,0,468.1142
6,8,true,126,184,227,0,491.6967
6,9,true,344,83,21,0,385.2294
6,10,true,433,316,25,2,419.4138
