objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,242,285,225,2
1,2,true,267,210,338,4
1,3,true,239,159,252,0
1,4,true,225,31,282,1
2,1,true,178,81,54,0
2,2,true,186,246,105,1
2,3,true,282,0,115,1
2,4,true,136,8,45,0
2,5,true,111,40,0,1
2,6,true,93,85,70,6
3,1,true,91,61,107,2
3,2,true,247,31,104,0
3,3,true,549,5,546,0
4,1,true,166,120,92,0
4,2,true,171,181,182,0
4,3,true,156,12,69,0
4,4,true,224,0,101,2
4,5,true,205,144,93,2
5,1,true,346,36,487,1
5,2,true,165,158,248,1
5,3,true,281,38,416,0
6,1,true,277,2,328,2
6,2,true,196,62,70,1
7,1,true,161,2,144,0
7,2,true,140,0,147,2
7,3,true,146,0,102,1
7,4,true,175,0,280,0
8,1,true,200,113,91,0
8,2,true,144,19,61,0
8,3,true,140,0,101,0
8,4,true,85,0,229,0
9,1,true,222,2,0,0
9,2,true,179,49,62,0
9,3,true,170,0,94,0
9,4,true,312,0,78,0
10,1,true,277,18,99,0
10,2,true,194,9,231,0
10,3,true,232,14,148,2
11,1,true,393,85,141,0
11,2,true,187,21,90,0
12,1,true,168,129,266,0
12,2,true,340,324,561,0
12,3,true,376,259,608,1
12,4,true,255,196,200,4
12,5,true,248,150,164,2
12,6,true,322,337,545,2
12,7,true,383,47,179,1
12,8,true,93,118,108,1
12,9,true,181,258,251,0
12,10,true,270,11,176,4
13,1,true,343,10,128,0
13,2,true,246,0,142,0
13,3,true,218,0,151,0
13,4,true,148,100,41,0
13,5,true,133,116,96,0
