dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,0,12,0,0
data001.mat,2,1,2,415,9
data001.mat,3,1,9,411,7
data001.mat,4,1,3,480,6
data001.mat,5,1,17,636,18
data002.mat,1,1,27,834,52
data002.mat,2,1,16,542,16
data002.mat,3,1,7,539,12
data002.mat,4,1,2,727,23
data002.mat,5,1,7,508,195
data003.mat,1,1,4,847,57
data003.mat,2,1,4,548,8
data003.mat,3,1,20,609,62
data003.mat,4,1,100,378,25
data003.mat,5,1,74,908,16
data004.mat,1,1,8,451,11
data004.mat,2,1,12,375,9
data005.mat,1,1,23,264,8
data005.mat,2,1,14,525,3
data005.mat,3,1,38,499,18
data005.mat,4,1,5,364,6
data005.mat,5,1,104,293,33
data005.mat,6,1,4,265,3
data005.mat,7,1,9,336,0
data005.mat,8,1,172,455,106
data006.mat,1,1,17,423,11
data006.mat,2,1,17,785,22
data006.mat,3,1,6,439,4
data006.mat,4,1,12,566,10
data007.mat,1,1,74,456,25
data007.mat,2,1,50,1160,25
data007.mat,3,1,227,526,166
data007.mat,4,1,17,529,15
data008.mat,1,1,188,947,146
data008.mat,2,1,74,348,16
data009.mat,1,1,7,721,4
data009.mat,2,1,50,440,40
data009.mat,3,1,178,1392,63
data010.mat,1,1,0,564,0
data010.mat,2,1,20,1451,4
data010.mat,3,1,52,309,5
data011.mat,1,1,5,439,8
data011.mat,2,1,12,463,12
data011.mat,3,1,96,714,54
data011.mat,4,1,125,411,62
data011.mat,5,1,11,572,23
data012.mat,1,1,3,342,7
data012.mat,2,1,83,522,32
data012.mat,3,1,64,807,28
data012.mat,4,1,6,787,3
data013.mat,1,1,12,937,8
data013.mat,2,1,17,389,9
data013.mat,3,1,474,423,285
data014.mat,1,1,7,347,14
data014.mat,2,1,8,741,6
data014.mat,3,1,29,463,16
data014.mat,4,1,349,162,178
data015.mat,1,1,116,610,54
data015.mat,2,1,13,694,5
data015.mat,3,1,112,345,66
data016.mat,1,1,20,587,7
data016.mat,2,1,54,152,19
data016.mat,3,1,19,309,26
data017.mat,1,1,6,351,7
data017.mat,2,1,9,661,5
data017.mat,3,1,105,446,49
data017.mat,4,1,10,668,14
data017.mat,5,1,10,401,15
data017.mat,6,1,138,345,80
data018.mat,1,1,47,823,34
data018.mat,2,1,53,883,15
data018.mat,3,1,4,873,6
data018.mat,4,1,8,502,21
data018.mat,5,1,6,346,16
data019.mat,1,1,73,1443,22
data019.mat,2,1,74,868,33
data019.mat,3,1,75,389,51
data019.mat,4,1,14,855,53
data020.mat,1,1,62,830,56
data020.mat,2,1,852,553,487
data020.mat,3,1,60,517,63
data020.mat,4,1,13,417,6
data021.mat,1,1,37,498,4
data021.mat,2,1,112,828,105
data021.mat,3,1,6,757,5
data021.mat,4,1,18,388,12
data021.mat,5,1,23,352,18
data022.mat,1,1,6,552,4
data022.mat,2,1,118,285,44
data022.mat,3,1,6,446,8
data022.mat,4,1,27,413,7
data022.mat,5,1,2,775,12
data023.mat,1,1,26,197,20
data023.mat,2,1,2,480,1
data023.mat,3,1,65,339,29
data023.mat,4,1,8,296,7
data024.mat,1,1,209,487,76
data024.mat,2,1,13,207,9
data024.mat,3,1,5,592,24
data024.mat,4,1,163,729,109
data024.mat,5,1,69,758,14
data024.mat,6,1,82,635,17
data025.mat,1,1,18,1006,12
data026.mat,1,1,59,585,11
data026.mat,2,1,5,506,8
data027.mat,1,1,116,299,46
data027.mat,2,1,13,676,14
data028.mat,1,1,44,914,59
data028.mat,2,1,263,397,170
data029.mat,1,1,83,170,43
data029.mat,2,1,112,375,33
data030.mat,1,1,35,1187,62
data030.mat,2,1,7,419,2
data031.mat,1,1,19,904,12
data031.mat,2,1,18,447,3
data031.mat,3,1,144,233,56
