dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,0,485,6
data001.mat,2,1,3,550,2
data002.mat,1,1,87,229,90
data002.mat,2,1,183,295,133
data002.mat,3,1,378,660,295
data003.mat,1,1,222,755,159
data003.mat,2,1,52,929,93
data004.mat,1,1,0,782,2
data004.mat,2,1,0,983,179
data005.mat,1,1,29,856,24
data005.mat,2,1,142,1417,803
data006.mat,1,1,8,1602,8
data006.mat,2,1,4,1571,1075
data007.mat,1,0,30,1238,54
data007.mat,2,1,6,1476,6
data008.mat,1,1,9,1148,217
data008.mat,2,1,54,1823,1757
data009.mat,1,1,1,500,139
data009.mat,2,1,9,1255,2
data009.mat,3,1,4,849,113
data010.mat,1,1,14,862,65
data010.mat,2,1,56,628,39
data010.mat,3,1,13,563,15
data011.mat,1,1,5,1446,178
data011.mat,2,1,75,1157,82
data012.mat,1,1,0,1071,262
data012.mat,2,1,6,1442,89
data012.mat,3,1,14,1420,19
data013.mat,1,1,6,951,9
data013.mat,2,1,5,1190,146
data014.mat,1,1,12,1475,472
data014.mat,2,1,14,1838,32
data015.mat,1,1,2,1192,760
data015.mat,2,1,1,930,89
data015.mat,3,1,1,1540,435
data016.mat,1,1,0,1381,156
data016.mat,2,1,3,2287,1020
data016.mat,3,1,53,1007,23
data017.mat,1,1,3,1764,2
data017.mat,2,1,8,1593,101
data017.mat,3,1,3,1553,50
data018.mat,1,1,23,1447,737
data018.mat,2,1,0,1478,351
data018.mat,3,1,240,1740,176
data018.mat,4,1,2,1386,88
data019.mat,1,1,9,1164,1
data019.mat,2,1,8,1376,194
data021.mat,1,1,4,730,336
data021.mat,2,1,27,1233,18
data022.mat,1,1,1,1190,49
data022.mat,2,1,15,1215,288
data022.mat,3,1,5,1322,6
data023.mat,1,1,4,703,209
data023.mat,2,1,3,1031,164
