objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,308,19,87,299
1,2,false,447,0,313,0
2,1,true,350,14,140,66
2,2,true,295,15,166,56
2,3,true,197,2,92,49
2,4,true,239,3,109,30
2,5,true,523,9,172,21
3,1,true,835,48,141,19
3,2,true,728,4,106,0
3,3,true,325,0,61,0
3,4,true,500,0,103,0
3,5,true,724,0,73,13
4,1,true,220,7,354,97
4,2,true,256,29,340,113
4,3,true,367,105,418,262
4,4,true,461,5,122,294
4,5,true,328,3,103,105
5,1,true,294,50,182,131
5,2,true,436,38,218,53
5,3,true,387,52,231,74
6,1,true,367,222,34,544
6,2,true,793,29,66,21
7,1,true,244,18,155,14
7,2,true,296,81,83,132
