dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,7,1264,0
data001.mat,2,0,13,100,1
data001.mat,3,0,7,58,27
data002.mat,1,1,42,1334,0
data002.mat,2,1,3,1047,0
data002.mat,3,1,5,965,1
data003.mat,1,1,17,886,0
data003.mat,2,1,54,1043,0
data004.mat,1,1,44,890,0
data004.mat,2,1,2,694,0
data004.mat,3,1,1,1302,2
data005.mat,1,1,12,1006,0
data005.mat,2,1,4,941,0
data005.mat,3,1,7,583,0
data005.mat,4,1,10,1252,0
data006.mat,1,1,66,828,0
data006.mat,2,1,4,296,0
data006.mat,3,1,2,465,0
data006.mat,4,1,3,1163,0
data007.mat,1,1,1,1041,2
data007.mat,2,1,146,1355,0
data007.mat,3,1,4,1116,1
data007.mat,4,1,77,733,0
data008.mat,1,1,4,800,0
data008.mat,2,1,7,1156,0
data008.mat,3,0,4,801,0
data008.mat,4,1,2,753,1
data009.mat,1,1,1,444,0
data009.mat,2,1,1,505,0
data009.mat,3,1,0,352,2
data009.mat,4,1,2,327,0
data009.mat,5,1,3,404,0
data009.mat,6,1,36,917,0
data010.mat,1,1,0,846,0
data010.mat,2,1,86,468,2
data010.mat,3,1,89,914,1
data010.mat,4,1,40,1281,0
data010.mat,5,1,44,626,0
data010.mat,6,1,2,511,0
data011.mat,1,1,3,707,0
data011.mat,2,1,2,855,0
data011.mat,3,1,8,1111,0
data011.mat,4,1,62,1135,0
data011.mat,5,1,5,899,3
data011.mat,6,1,2,524,0
data012.mat,1,1,6,1419,0
data012.mat,2,1,3,628,0
data012.mat,3,1,2,1043,0
data012.mat,4,1,2,527,0
data012.mat,5,1,0,864,0
data013.mat,1,1,9,791,0
data013.mat,2,1,10,804,0
data013.mat,3,1,21,1239,0
data013.mat,4,1,28,611,0
data013.mat,5,1,1,1003,1
data014.mat,1,1,40,1032,0
data014.mat,2,1,10,577,0
data014.mat,3,1,38,757,0
data014.mat,4,1,41,749,0
data015.mat,1,1,7,1286,0
data015.mat,2,1,8,718,0
data016.mat,1,1,6,867,0
data016.mat,2,1,7,1134,0
data016.mat,3,1,26,658,0
data016.mat,4,1,13,748,0
data016.mat,5,1,1,754,0
data017.mat,1,1,2,1100,0
data017.mat,2,1,167,1051,0
data017.mat,3,1,172,582,0
data018.mat,1,1,1,989,0
data018.mat,2,1,3,625,0
data018.mat,3,1,1,712,0
data019.mat,1,1,3,958,0
data019.mat,2,1,4,869,0
data019.mat,3,1,18,935,0
data020.mat,1,1,4,731,0
data020.mat,2,1,2,698,0
data020.mat,3,1,3,1290,0
data021.mat,1,1,40,426,0
data021.mat,2,1,73,596,0
data022.mat,1,1,7,708,0
data022.mat,2,1,4,1155,0
data023.mat,1,1,3,629,0
data024.mat,1,1,11,780,0
data025.mat,1,1,2,503,0
data026.mat,1,1,4,1899,0
data026.mat,2,1,32,1020,0
data027.mat,1,1,2,1196,15
data028.mat,1,1,33,839,0
data029.mat,1,1,8,1065,0
data030.mat,1,1,3,1180,1
data031.mat,1,1,22,1424,0
data032.mat,1,1,23,1752,0
data033.mat,1,1,2,1772,0
data034.mat,1,1,14,1879,0
data035.mat,1,1,46,1545,0
data036.mat,1,1,19,1559,0
data037.mat,1,1,2,1092,0
data038.mat,1,1,3,1053,0
data039.mat,1,1,2,937,0
data039.mat,2,1,0,614,0
data040.mat,1,1,1,1039,3
