"","experimentid","actual.rho","lower.rho","upper.rho","X","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"110","P5",0.184887664385456,-0.00530380582791645,0.409834069606866,190,"MSC","het","PA - 55kPA","static","basal","8",7,"","","","Fig 1 - MSCs on different substrates","2014-06-26","2014-06-27","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"111","P7",0.474501329448787,0.104085496964514,0.757713081903554,192,"MSC","het","PA - 5kPA","static","basal","8",7,"","","","Fig 1 - MSCs on different substrates","2014-07-29","2014-07-30","","/2014-07-30_fig1_MSCs/Fig1_MSC_PAgel_5kPa","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"112","S1",-0.0500825889048881,-0.201941931143121,0.0905693929399797,3,"MSC","het","scaffold","static","CM-","",NA,"","","","MSCs on scaffolds","2013-06-26","2013-06-27","","/2013-06-27/CM Minus scaffold","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"113","S10",0.0402612049644597,-0.288422978475025,0.482354143386059,12,"MSC","F","scaffold","static","CM-","",NA,"","","","MSCs on scaffolds (clone)","2013-07-16","2013-07-17","","/2013-07-17","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"114","S2",-0.0741169226174318,-0.166398032882364,0.0241552510211912,4,"MSC","het","scaffold","static","CM+","",NA,"","","","MSCs on scaffolds","2013-06-26","2013-06-27","","/2013-06-27/CM Plus","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"115","S24",-0.132872689335126,-0.287089028884628,0.132254006712741,31,"MFC","in","scaffold","static","CM-","",4,"","","","meniscus cells on scaffold (also comparison with glass)","2013-08-29","2013-08-30","","","ish","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"116","S25",0.123690267099951,-0.119265166347519,0.394659341711403,32,"MFC","out","scaffold","static","CM-","",4,"","","","meniscus cells on scaffold (also comparison with glass)","2013-08-29","2013-08-30","","","ish","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"117","S26",0.360910867109175,0.109736022041469,0.589913686744196,188,"MSC","het","scaffold","static","basal","8",7,"","","","Fig 1 - MSCs on different substrates","2014-07-28","2014-07-29","","/2014-07-29_fig1scaffold_P0Don3glassCHrediff/Fig1_MSC_scaffold","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"118","S4",-0.25082163307939,-0.679902601314255,0.344180959290047,6,"MSC","K","scaffold","DL","CM-","",NA,"","","","MSCs on scaffolds (clone)","2013-07-04","2013-07-05","","/2013-07-05/K DL","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"119","S5",0.055421922581508,-0.130450931993342,0.25401310068467,7,"MSC","K","scaffold","static","CM-","",NA,"","","","MSCs on scaffolds (clone)","2013-07-04","2013-07-05","","/2013-07-05/K Static","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"120","S6",0.0640015873279312,-0.191135725707825,0.399347178411598,8,"MSC","het","scaffold","DL","CM-","",NA,"","","","MSCs on scaffolds","2013-07-08","2013-07-09","","/2013-07-09","y (t)","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"121","S7",0.603408414779423,0.192610508789002,0.859062328374395,9,"MSC","het","scaffold","DL","CM-","",NA,"","","","MSCs on scaffolds","2013-07-09","2013-07-10","","/2013-07-10/DL Het","y (t)","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
