"","experimentid","actual.rho","lower.rho","upper.rho","X","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"50","A69",0.602824681713519,0.243650333812742,0.797675097480173,155,"MSC","het","agarose","static","CM+","7",21,"","FixDead","","MSCs het differentiation in gels core","2014-06-03","2014-06-04","","","","y AC","","sooooo many dead cells, but definitely some live ones too","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"51","A7",0.241403045529346,-0.231469585393183,0.719601982494615,68,"MSC","het","agarose","static","CM-","4",14,NA,"","","ultra thin gels test","2013-11-20","2013-11-21","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"52","A76",-0.154332339518039,-0.242959078840796,-0.0774615789571406,162,"MSC","het","agarose","static","CM-","7",7,"","","","MSCs het differentiation in gels core","2014-07-23","2014-07-24","","/2014-07-24_MSC_R3_gel_D7/MSC_R3_gel_D7_CMminus","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"53","A77",0.243909215652701,0.0258781223525771,0.443803726026736,163,"MSC","het","agarose","static","CM+","7",7,"","","","MSCs het differentiation in gels core","2014-07-23","2014-07-24","","/2014-07-24_MSC_R3_gel_D7/MSC_R3_gel_D7_CM+","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"54","A8",0.232693246798616,-0.145812910850394,0.645346522026426,69,"MSC","het","agarose","static","CM+","4",14,NA,"","","ultra thin gels test","2013-11-20","","","","","","","","","","","","","","","","","","","","","",""
"55","A80",-0.034288364835176,-0.112214850015564,0.195165033180391,166,"MSC","het","agarose","static","CM-","7",21,"","","","MSCs het differentiation in gels core","2014-11-20","2014-11-21","","","","","","","","","","","","","","","","","","","","",""
"56","A81",0.578324396500414,0.083617857891439,0.800168329396351,167,"MSC","het","agarose","static","CM+","7",21,"","","","MSCs het differentiation in gels core","2014-11-18","2014-11-19","","","","","","","","","","","","","","","","","","","","",""
"57","A95",0.164030544038028,-0.112318397002032,0.408541462191148,185,"MSC","het","agarose","static","basal","8",7,"","","","Fig 1 - MSCs on different substrates","2014-07-29","2014-07-30","","/2014-07-30_fig1_MSCs/Fig1_MSC_agarose","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"58","A96",0.679291914025702,0.491087175723824,0.806670486654582,194,"chondrocyte","het","agarose","static","basal","1B",1,"0","FixDead","","chondrocyte redifferentiation core","2014-07-07","2014-07-08","","/2014-07-08_Don1B_CH_gel_P0_D1-D14/Don1B_CH_gel_P0_D1","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"59","A97",0.388265363424369,0.201395039388187,0.563616649874887,195,"chondrocyte","het","agarose","static","basal","1B",14,"0","FixDead","","chondrocyte redifferentiation core","2014-07-07","2014-07-08","","/2014-07-08_Don1B_CH_gel_P0_D1-D14/Don1B_CH_gel_P0_D14","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"60","G1",0.206011591947601,-0.0150989882887161,0.430855381640084,1,"MSC","het","glass","static","CM-","",NA,"","","","","2013-06-24","2013-06-25","","/2013-06-25 Ally/CM Minus Media","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"61","G10",0.158663947087246,-0.0198716482407344,0.34150581782466,35,"MFC","out","glass","static","CM-","",4,"","","","meniscus cells on scaffold (also comparison with glass)","2013-08-25","2013-08-26","","/2013-08-26/MFC out","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"62","G12",0.0790116505322444,-0.265155860881515,0.337800988628969,37,"chondrocyte","het","glass","static","CM-","1",NA,"0","","","testing new adipo/osteo probes on cells on glass","2013-08-26","2013-08-27","","/2013-08-27/Donor1","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"63","G13",0.220494449752233,-0.0706872393734528,0.489208156722667,38,"chondrocyte","het","glass","static","CM-","2",NA,"0","","","testing new adipo/osteo probes on cells on glass","2013-08-26","2013-08-27","","/2013-08-27/Donor2","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"64","G14",0.582050312609302,0.386909859305966,0.782170635653338,39,"MSC","het","glass","static","CM-","",0,"","","","testing new adipo/osteo probes on cells on glass","2013-09-16","2013-09-17","","/2013-09-17/CM Minus","y","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"65","G15",0.187780181135134,0.0118604307517096,0.378522870364597,40,"MSC","het","glass","static","CM+","",0,"","","","testing new adipo/osteo probes on cells on glass","2013-09-16","2013-09-17","","/2013-09-17/CM Plus","y","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"66","G19",0.390964730022518,0.174409781062405,0.557050411313764,44,"chondrocyte","het","glass","static","CM-","2",NA,"3","","","testing new adipo/osteo probes on cells on glass","2013-09-19","2013-09-19","","/2013-09-19","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"67","G2",-0.209140040387443,-0.469727729680512,0.140590654874089,2,"MSC","het","glass","static","CM+","",NA,"","","","","2013-06-24","2013-06-25","","/2013-06-25 Ally/Differentiation Media","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"68","G20",0.270508550792551,0.0875016716717039,0.43222648568894,46,"MSC","het","glass","static","Adipo",NA,7,"","","","adipo/osteo media to test for expression of new adipo/osteo test genes","2013-09-24","2013-09-26","","/2013-09-26/adipo","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"69","G21",0.525082842896477,0.364586271090323,0.65892724823685,47,"MSC","het","glass","static","Osteo",NA,7,"","","","adipo/osteo media to test for expression of new adipo/osteo test genes","2013-09-24","2013-09-26","","/2013-09-26/osteo","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"70","G22",0.271675552371151,-0.0641759987022025,0.59785461710731,48,"chondrocyte","het","glass","static","Basal","4",NA,"-1","","","chondrocyte dedifferentiation core","2013-10-08","2013-10-09","","/2013-10-09","?","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"71","G23",0.65687150156109,0.332516167498193,0.839643260561423,50,"chondrocyte","het","glass","static","Basal","4",NA,"0","","","chondrocyte dedifferentiation core","2013-10-15","2013-10-16","","/2013-10-16/Donor4","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"72","G24",0.275164017441272,0.0570999783595741,0.479145180677351,51,"chondrocyte","het","glass","static","Basal","6",NA,"0","","","chondrocyte dedifferentiation core","2013-10-15","2013-10-16","","/2013-10-16/Donor6","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"73","G25",0.364996097824383,0.196463727907906,0.505636281159302,52,"chondrocyte","het","glass","static","Basal","6",NA,"-1","","","chondrocyte dedifferentiation core","2013-10-14","2013-10-15","","/2013-10-15","","","AC","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
