objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,48,234,834,4
1,2,true,46,166,833,0
1,3,true,70,8,906,2
2,1,true,29,96,947,2
2,2,true,42,90,939,1
2,3,true,49,271,847,2
3,1,true,176,37,1225,2
3,2,true,471,534,1373,2
4,1,true,134,3,795,36
4,2,true,102,252,1014,3
4,3,true,128,270,1058,3
5,1,true,217,77,678,2
5,2,true,462,148,989,9
5,3,true,13,64,1021,1
6,1,true,82,107,926,3
6,2,true,319,291,1490,2
7,1,true,129,138,711,4
7,2,true,134,178,789,2
8,1,true,113,109,794,5
8,2,true,231,24,968,1
8,3,true,260,28,962,5
9,1,true,27,552,2228,9
9,2,true,201,163,1083,5
9,3,true,12,105,1083,2
10,1,true,32,236,924,0
11,1,true,311,265,1440,3
12,1,true,26,23,1138,0
12,2,true,250,73,702,5
12,3,true,327,55,625,13
13,1,true,142,271,1236,4
13,2,true,110,150,781,2
14,1,true,27,3,1125,1
15,1,true,180,3,861,0
15,2,true,74,335,1064,0
16,1,true,221,5,939,3
16,2,true,93,33,649,4
17,1,true,107,65,959,0
18,1,true,199,74,767,6
18,2,true,193,106,755,2
19,1,true,30,226,876,4
19,2,true,135,191,746,2
19,3,true,89,148,615,1
19,4,true,39,11,1062,3
20,1,true,482,481,864,3
20,2,true,392,573,827,5
21,1,true,347,63,900,3
21,2,true,0,535,1607,0
22,1,true,6,5,418,1
22,2,true,0,8,355,0
23,1,true,722,866,1691,3
23,2,true,395,130,954,6
24,1,true,54,213,1006,9
24,2,true,955,299,1902,1
25,1,true,423,183,1067,1
25,2,true,364,86,861,3
26,1,true,42,94,731,0
26,2,true,10,126,644,0
26,3,true,52,178,812,1
27,1,true,33,142,657,1
27,2,true,29,540,1069,1
28,1,true,1,496,1321,2
28,2,true,334,341,1164,1
29,1,true,100,305,870,1
29,2,true,89,181,810,1
30,1,true,53,232,843,2
30,2,true,668,361,1324,2
31,1,true,1,1,888,0
31,2,true,0,11,887,2
32,1,true,89,16,904,10
32,2,true,123,33,1016,2
33,1,true,13,387,712,2
34,1,true,9,194,822,1
34,2,true,438,224,887,3
35,1,true,236,195,1049,11
35,2,true,580,749,1274,3
36,1,true,67,38,1076,1
36,2,true,119,10,703,6
36,3,true,208,38,893,5
37,1,true,83,271,765,3
37,2,true,135,328,749,6
38,1,true,36,37,689,2
38,2,true,187,14,754,6
38,3,true,121,6,752,1
39,1,true,70,189,1748,3
39,2,true,376,25,1433,2
40,1,true,187,247,924,3
40,2,true,117,171,703,1
40,3,true,103,94,1622,1
41,1,true,121,20,726,3
41,2,true,147,23,730,0
41,3,true,29,48,1598,0
