objArrayNum,objNum,isGood,cy.RNA,GAPDH.RNA
1,1,true,132,89
1,2,true,165,261
1,3,true,163,91
1,4,true,133,55
1,5,true,270,183
1,6,true,281,117
1,7,true,205,158
1,8,true,144,155
1,9,true,224,121
1,10,true,116,103
2,1,true,113,233
2,2,true,221,71
2,3,true,138,134
2,4,true,217,120
3,1,true,264,160
3,2,true,131,117
3,3,true,206,134
3,4,true,205,97
3,5,true,211,103
3,6,true,218,88
3,7,true,133,46
3,8,true,204,128
3,9,true,258,171
3,10,true,129,92
3,11,true,184,134
4,1,true,387,189
4,2,true,156,197
4,3,true,319,147
4,4,true,325,133
4,5,true,166,103
4,6,true,203,104
4,7,true,151,82
4,8,true,124,160
4,9,true,148,61
4,10,true,324,78
4,11,true,161,55
4,12,true,176,25
5,1,true,224,203
5,2,true,217,320
5,3,true,225,229
5,4,true,266,197
5,5,true,229,83
5,6,true,268,76
5,7,true,203,276
5,8,true,180,122
5,9,true,172,91
5,10,true,170,54
5,11,true,213,152
5,12,true,135,85
5,13,true,97,55
5,14,true,265,27
5,15,true,234,115
5,16,true,134,86
5,17,true,151,170
6,1,true,335,297
6,2,true,268,132
6,3,true,145,111
6,4,true,291,473
6,5,true,188,93
6,6,true,312,170
6,7,true,236,67
6,8,true,248,83
6,9,true,173,38
6,10,true,266,53
6,11,true,275,152
6,12,true,122,53
6,13,true,282,88
7,1,true,143,161
7,2,true,132,133
7,3,true,208,93
7,4,true,154,19
7,5,true,242,42
7,6,true,192,85
7,7,true,208,100
7,8,true,183,84
8,1,true,196,71
8,2,true,298,253
8,3,true,269,207
8,4,true,258,184
8,5,true,181,28
8,6,true,128,41
8,7,true,201,164
9,1,true,205,228
9,2,true,233,206
9,3,true,283,380
9,4,true,255,113
9,5,true,199,153
9,6,true,101,56
9,7,true,301,80
9,8,true,230,252
9,9,true,295,236
10,1,true,283,260
10,2,true,163,41
10,3,true,322,94
10,4,true,232,43
10,5,true,228,85
10,6,true,247,104
10,7,true,340,65
10,8,true,140,106
10,9,true,153,46
10,10,true,150,99
10,11,true,138,35
11,1,true,122,80
11,2,true,206,124
11,3,true,94,73
11,4,true,113,73
11,5,true,180,69
11,6,true,264,199
11,7,true,129,196
