objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,28,26,30,0
1,2,true,3,0,3,0
1,3,true,17,157,44,0
1,4,true,7,167,42,0
1,5,true,9,407,56,0
2,1,true,4,1,2,0
2,2,true,0,3,5,0
2,3,true,13,297,29,0
2,4,true,4,446,13,0
2,5,true,269,559,150,0
2,6,true,87,443,118,0
3,1,true,324,505,73,0
3,2,true,79,223,36,0
3,3,true,91,214,49,0
3,4,true,182,325,86,0
3,5,true,162,310,111,1
3,6,true,19,1,49,0
3,7,true,9,402,95,0
3,8,true,7,306,62,0
4,1,false,0,198,60,0
4,2,false,0,221,55,0
4,3,true,38,427,213,0
5,1,true,1,24,144,0
5,2,true,0,14,200,0
5,3,true,135,149,64,0
5,4,false,11,38,0,0
5,5,true,66,202,1,0
6,1,true,90,154,46,0
6,2,true,114,152,56,0
6,3,true,1,4,9,1
6,4,true,1,0,2,1
7,1,true,123,149,18,0
7,2,true,222,167,93,0
7,3,true,251,378,138,0
7,4,true,20,191,6,0
7,5,true,15,194,15,0
8,1,true,1,173,10,0
8,2,true,0,245,28,0
8,3,true,112,366,100,0
8,4,true,116,267,106,1
9,1,true,79,173,57,0
9,2,true,94,143,58,0
9,3,true,226,43,287,0
9,4,true,189,385,220,1
10,1,true,2,2,0,0
10,2,true,23,139,13,0
10,3,true,55,318,48,0
11,1,true,3,358,155,0
11,2,true,9,210,135,1
11,3,true,5,218,101,0
11,4,true,0,178,27,0
11,5,true,0,166,29,0
12,1,true,2,267,100,0
12,2,true,1,138,32,0
12,3,true,0,197,69,0
13,1,true,0,0,0,0
13,2,true,174,324,307,1
13,3,true,221,455,315,0
13,4,true,2,1,0,2
14,1,true,0,304,254,0
14,2,true,70,429,115,1
14,3,true,217,304,7,0
14,4,true,133,60,8,0
15,1,true,66,26,112,0
15,2,true,250,342,143,0
15,3,true,4,22,5,0
15,4,true,11,5,9,0
15,5,true,12,285,170,0
16,1,true,1,2,1,0
16,2,true,0,8,0,1
16,3,true,0,0,3,0
16,4,true,0,0,0,0
16,5,true,2,2,0,0
16,6,true,1,1,2,0
16,7,true,128,257,43,0
16,8,true,177,290,19,1
17,1,true,87,195,74,0
17,2,true,115,240,58,0
17,3,true,88,159,32,0
17,4,true,0,0,0,0
17,5,true,0,0,0,0
17,6,true,233,298,83,0
17,7,true,342,393,135,0
18,1,true,0,97,150,0
18,2,true,6,109,83,0
18,3,true,149,51,211,0
