objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,114,149,724,1
1,2,true,332,127,779,1
1,3,true,184,172,1042,0
2,1,true,53,250,909,1
2,2,true,21,561,1229,3
2,3,true,146,236,982,1
2,4,true,210,443,1360,1
3,1,true,352,190,1017,6
3,2,true,63,98,517,1
3,3,true,12,55,652,3
3,4,true,52,178,678,3
4,1,true,88,145,1004,2
4,2,true,197,127,802,2
4,3,true,293,243,1209,2
5,1,true,0,11,709,3
5,2,true,2,23,1026,1
5,3,true,15,184,1000,2
6,1,true,37,65,916,0
6,2,true,14,173,1057,8
6,3,true,1,80,911,1
6,4,true,2,96,821,0
7,1,true,20,575,1024,3
7,2,true,52,196,942,0
8,1,true,0,58,533,8
8,2,true,0,528,1366,0
8,3,true,2,174,592,0
8,4,true,3,56,468,0
8,5,true,5,37,435,4
9,1,true,38,579,1003,3
9,2,true,7,134,531,0
9,3,true,2,51,366,3
10,1,true,481,500,1175,7
10,2,true,210,187,928,3
10,3,true,418,270,807,3
11,1,true,122,64,1319,3
11,2,true,118,293,724,4
11,3,true,28,185,489,2
11,4,true,142,400,2328,2
12,1,true,77,37,2133,4
12,2,true,136,8,1025,3
12,3,true,21,81,663,2
12,4,true,48,82,1255,0
13,1,true,30,91,729,2
13,2,true,14,62,683,0
13,3,true,12,71,761,2
14,1,true,169,119,491,1
14,2,true,202,127,689,1
14,3,true,221,8,441,4
14,4,true,94,34,569,1
15,1,true,195,97,604,3
15,2,true,379,181,1342,6
15,3,true,161,394,1337,4
16,1,true,76,337,611,1
16,2,true,0,5,818,0
16,3,true,0,6,959,0
16,4,true,21,308,584,0
16,5,true,121,229,652,0
17,1,true,0,6,789,0
17,2,true,6,37,639,2
17,3,true,8,286,1001,0
17,4,true,143,91,811,1
17,5,true,42,68,559,1
18,1,true,39,271,764,7
18,2,true,19,317,746,0
18,3,true,0,20,930,0
18,4,true,61,364,821,5
19,1,true,168,430,777,0
19,2,true,52,432,875,1
19,3,true,61,405,1200,1
20,1,true,69,180,898,3
20,2,true,34,186,1011,3
20,3,true,34,26,465,0
21,1,true,32,12,344,5
21,2,true,11,9,513,0
21,3,true,14,3,578,0
22,1,true,20,14,428,0
22,2,true,18,29,445,5
22,3,true,61,33,645,1
23,1,true,58,50,1162,1
23,2,true,58,165,570,0
23,3,true,52,118,606,0
24,1,true,202,257,580,1
24,2,true,311,278,909,2
25,1,true,79,205,508,2
25,2,true,78,156,487,0
25,3,true,101,258,654,3
26,1,true,9,7,1011,1
26,2,true,8,86,918,0
27,1,true,2,52,690,1
27,2,true,19,178,893,2
27,3,true,21,210,852,3
27,4,true,1,141,818,0
28,1,true,13,13,782,1
28,2,true,108,271,737,5
28,3,true,413,304,1690,7
29,1,true,125,160,605,2
29,2,true,87,19,486,2
29,3,true,375,378,929,6
29,4,true,127,24,831,5
30,1,true,108,94,549,6
30,2,true,13,104,790,9
30,3,true,113,121,786,8
30,4,true,17,7,564,0
30,5,true,78,67,723,14
