objArrayNum,objNum,isGood,group,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,false,1,15,7,9,7
1,2,true,2,139,27,30,0
1,3,true,3,0,5,64,0
1,4,true,3,0,18,89,0
2,1,true,1,88,22,79,0
2,2,true,1,48,9,55,0
2,3,true,3,93,219,226,7
2,4,true,4,160,118,128,6
3,1,true,1,1,100,73,5
3,2,true,1,0,61,158,7
3,3,true,3,11,82,126,21
4,1,true,1,15,88,238,4
4,2,true,2,1,23,260,9
4,3,true,3,0,0,146,0
4,4,true,3,1,0,193,1
5,1,true,1,261,139,341,0
5,2,true,2,1,0,141,6
5,3,true,3,55,382,205,13
5,4,true,4,15,159,119,8
6,1,true,1,34,24,78,1
6,2,true,1,106,14,133,1
6,3,true,3,205,364,268,1
6,4,true,4,260,10,44,0
7,1,true,1,0,47,149,8
7,2,true,2,2,3,305,0
7,3,true,2,1,11,216,0
8,1,true,1,0,2,143,7
8,2,true,2,81,102,75,4
9,1,true,1,0,284,137,7
9,2,true,2,0,15,376,8
9,3,true,3,121,0,122,0
9,4,true,3,118,1,77,0
10,1,true,1,6,2,42,0
10,2,true,2,0,7,356,9
10,3,true,2,0,7,286,1
10,4,true,4,26,92,129,4
10,5,true,3,95,21,74,8
10,6,true,3,99,0,32,5
11,1,true,1,5,224,145,5
11,2,true,2,0,105,114,4
11,3,true,3,8,91,90,1
12,1,true,1,60,153,203,24
12,2,true,2,7,5,133,1
12,3,true,3,90,115,121,1
13,1,true,1,54,0,1,0
13,2,true,1,2,0,0,0
13,3,true,3,8,34,82,2
13,4,true,3,114,11,10,1
14,1,true,1,0,10,42,8
14,2,true,1,0,3,123,5
14,3,false,3,12,10,18,47
15,1,true,1,105,0,0,0
15,2,true,2,1,0,2,1
16,1,true,1,167,90,48,10
16,2,true,1,68,79,50,0
17,1,true,1,0,22,104,3
17,2,true,2,137,0,0,0
17,3,true,2,2,13,1,0
18,1,true,1,206,14,51,9
18,2,true,2,296,107,85,16
18,3,true,3,87,11,120,5
18,4,true,4,4,30,122,9
18,5,true,5,11,12,116,0
18,6,true,5,3,106,211,2
19,1,true,1,32,18,82,1
19,2,true,1,73,42,110,3
19,3,true,2,40,38,224,5
19,4,true,2,86,20,109,4
20,1,true,1,2,6,386,7
20,2,true,2,177,67,66,4
20,3,true,2,90,36,56,0
20,4,true,3,18,296,151,25
21,1,true,1,19,31,56,4
21,2,true,2,0,51,55,5
21,3,true,3,4,20,80,2
21,4,true,4,0,1,187,0
22,1,true,1,33,63,229,3
22,2,true,2,0,38,114,1
22,3,true,2,0,29,124,2
23,1,true,1,165,149,164,0
23,2,true,1,147,86,68,0
23,3,true,2,61,15,63,2
23,4,true,2,35,5,75,0
23,5,true,3,1,175,269,1
24,1,true,1,0,44,44,0
25,1,true,1,131,48,137,28
25,2,true,2,0,3,75,0
25,3,true,2,0,21,47,1
25,4,true,3,199,16,33,0
26,1,true,1,1,1,173,0
27,1,true,1,0,1,207,1
27,2,true,2,112,37,151,0
27,3,true,2,110,22,63,0
27,4,true,3,17,0,122,1
28,1,true,1,71,48,96,4
28,2,true,2,0,5,104,24
28,3,true,2,1,3,172,10
28,4,true,4,0,16,117,0
29,1,true,1,17,218,88,7
29,2,true,2,200,208,114,2
29,3,true,3,0,40,49,0
30,1,true,1,1,68,270,0
31,1,true,1,189,48,98,2
31,2,true,1,2,2,80,5
31,3,true,1,204,2,128,2
32,1,true,1,0,12,642,1
32,2,true,2,33,23,375,2
