objArrayNum,objNum,isGood,group,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,1,222,203,393,0
1,2,true,1,139,119,572,0
2,1,true,1,794,68,671,0
3,1,true,3,0,42,918,0
3,2,true,2,396,44,922,0
3,3,true,1,179,93,581,0
4,1,true,1,449,501,720,5
4,2,true,2,402,453,414,3
4,3,true,2,280,313,369,0
5,1,false,1,103,5,151,0
5,2,true,2,75,241,364,2
5,3,false,3,46,105,28,0
5,4,true,1,154,56,695,1
5,5,true,5,163,69,467,0
6,1,true,1,321,590,310,3
6,2,true,1,162,160,258,2
6,3,true,3,209,38,515,2
6,4,true,3,96,64,369,2
6,5,true,4,88,101,269,1
6,6,true,4,16,121,352,2
6,7,true,2,189,16,171,0
6,8,true,2,179,62,218,0
6,9,true,9,103,210,579,0
6,10,true,10,412,223,636,13
6,11,true,11,196,158,551,0
6,12,true,5,241,317,418,0
6,13,true,5,294,166,389,1
6,14,true,14,188,142,811,3
6,15,true,14,365,200,875,4
6,16,true,14,103,82,515,0
6,17,true,14,80,55,349,4
7,1,true,1,134,26,283,3
7,2,true,2,354,85,471,5
7,3,true,3,45,258,424,2
7,4,true,4,303,322,603,0
7,5,true,5,532,559,826,1
8,1,true,1,67,144,539,2
8,2,true,2,763,704,366,0
8,3,true,3,21,187,595,0
8,4,true,3,24,106,388,0
8,5,true,5,347,395,466,0
8,6,true,6,44,105,483,2
9,1,true,1,292,165,356,2
9,2,true,1,162,123,241,0
9,3,true,3,218,399,354,3
9,4,true,4,239,353,341,0
9,5,true,5,348,514,246,0
9,6,true,5,375,235,357,1
9,7,true,7,271,279,546,3
9,8,true,6,319,91,237,0
9,9,true,6,183,43,265,0
9,10,true,10,495,249,736,3
10,1,true,1,363,82,288,0
10,2,true,1,306,92,751,0
10,3,true,2,152,90,315,0
10,4,true,2,98,38,323,3
10,5,true,5,159,215,716,9
10,6,true,6,780,225,425,1
11,1,true,1,219,15,226,2
11,2,false,1,154,15,381,1
11,3,true,3,329,21,301,0
11,4,true,3,214,50,452,3
11,5,true,5,264,79,213,0
11,6,true,5,200,106,474,1
11,7,true,7,37,259,988,6
11,8,true,8,303,373,449,1
12,1,true,1,235,111,517,4
12,2,true,1,151,65,290,4
12,3,true,3,360,262,633,0
12,4,true,4,118,173,592,13
12,5,true,5,472,587,726,0
13,1,true,1,85,75,455,5
13,2,true,1,90,64,705,0
13,3,true,3,412,83,563,6
14,1,true,1,366,264,587,6
14,2,true,2,344,253,492,0
14,3,true,3,239,38,167,0
14,4,true,4,550,249,499,0
15,1,true,1,89,56,317,0
15,2,true,1,97,53,484,0
15,3,true,3,72,73,543,0
15,4,true,4,84,43,271,3
15,5,true,4,74,68,440,2
15,6,true,6,396,414,298,3
15,7,true,7,331,261,714,0
15,8,true,8,127,156,302,3
16,1,true,1,99,198,358,1
16,2,true,2,269,457,294,0
16,3,true,3,530,98,328,4
16,4,true,4,165,101,288,0
16,5,false,5,15,2,228,15
16,6,true,6,417,268,1193,2
17,1,true,1,171,37,286,5
17,2,true,2,8,355,978,0
17,3,true,3,190,391,233,0
18,1,true,1,381,183,407,0
18,2,true,2,326,75,324,2
18,3,true,2,142,91,208,0
18,4,true,4,671,554,1218,0
18,5,true,5,562,438,251,4
18,6,true,6,35,99,529,0
19,1,true,1,278,39,547,2
19,2,true,1,297,86,694,0
19,3,true,3,1,177,331,0
19,4,true,4,85,50,256,0
19,5,true,4,110,42,312,2
19,6,true,6,361,447,412,2
19,7,true,7,365,270,351,0
19,8,true,8,382,178,496,0
