objArrayNum,objNum,isGood,group,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,1,415,19,197,1
1,2,true,1,438,16,158,1
2,1,true,1,156,26,317,0
2,2,true,1,186,45,330,0
2,3,true,2,370,63,511,0
2,4,true,2,291,77,322,2
2,5,true,2,445,105,267,2
3,1,true,1,307,52,278,2
3,2,true,1,149,30,141,1
4,1,true,1,760,26,431,2
4,2,true,2,836,171,638,0
4,3,true,3,220,19,95,1
4,4,true,3,436,33,142,1
5,1,true,1,566,301,424,1
5,2,true,2,541,236,957,1
6,1,true,1,194,528,165,2
6,2,true,2,336,567,282,2
7,1,true,1,350,291,798,1
7,2,true,2,340,185,205,7
7,3,true,2,284,2,190,1
8,1,true,1,678,220,628,3
8,2,true,2,271,241,515,1
8,3,true,2,198,73,461,3
9,1,true,1,489,249,637,0
10,1,true,1,1,49,139,0
10,2,true,2,512,64,491,2
11,1,true,1,402,126,464,1
11,2,true,1,473,145,482,1
11,3,true,2,493,87,495,1
11,4,true,2,667,40,550,5
12,1,true,1,353,86,350,0
12,2,true,1,269,227,410,1
12,3,true,3,363,467,562,3
12,4,true,3,339,304,230,0
13,1,true,1,299,196,400,3
13,2,true,1,479,228,454,0
13,3,true,3,914,145,430,2
14,1,true,1,335,1,380,0
14,2,true,2,356,2,420,0
15,1,true,1,200,63,241,0
15,2,true,2,177,105,309,1
15,3,true,2,341,34,259,2
15,4,true,4,854,222,955,2
16,1,true,1,203,359,650,2
16,2,true,1,229,229,499,1
16,3,true,3,1242,131,1130,0
17,1,true,1,553,93,949,0
17,2,true,1,242,36,327,0
17,3,false,3,41,23,68,0
17,4,true,3,319,108,348,3
17,5,true,4,458,121,494,1
17,6,true,4,334,221,566,2
17,7,true,7,789,128,331,0
18,1,true,1,533,313,697,0
18,2,true,1,137,145,450,0
18,3,true,3,1012,298,464,2
19,1,true,1,875,277,609,0
19,2,true,1,477,5,426,1
19,3,true,1,705,231,501,1
20,1,true,1,319,426,233,0
20,2,true,2,606,258,829,2
20,3,true,2,645,227,690,0
20,4,true,3,466,183,304,0
20,5,true,3,337,126,225,0
21,1,true,1,409,3,650,0
21,2,true,2,517,6,384,2
21,3,true,3,410,365,193,0
21,4,true,3,482,430,409,3
22,1,true,1,445,309,315,0
22,2,true,1,329,222,492,0
22,3,true,3,261,6,277,0
22,4,true,3,331,9,467,1
22,5,true,5,528,263,677,1
23,1,true,1,209,80,203,0
23,2,true,2,134,194,484,2
23,3,true,2,443,299,294,0
23,4,true,2,126,175,195,0
23,5,true,2,364,196,570,0
23,6,true,2,359,244,430,0
23,7,true,2,365,338,261,0
24,1,true,1,49,10,418,1
24,2,true,2,439,39,393,0
24,3,true,2,403,75,371,0
25,1,true,1,193,171,292,0
25,2,true,1,368,137,382,0
25,3,true,1,330,105,310,1
25,4,true,1,334,121,515,0
25,5,true,1,135,23,102,3
25,6,true,1,608,551,425,2
25,7,true,1,220,200,443,2
25,8,true,1,180,120,203,0
25,9,false,1,246,10,5,0
26,1,true,1,603,208,442,0
26,2,true,2,505,134,331,0
26,3,true,2,384,73,335,0
26,4,true,4,655,294,520,0
27,1,true,1,822,73,466,1
27,2,true,2,499,555,825,0
27,3,true,3,344,247,423,0
27,4,true,4,226,26,259,1
28,1,true,1,455,396,507,1
28,2,true,1,323,301,353,0
28,3,true,3,321,127,436,2
28,4,true,3,385,96,407,0
29,1,true,1,801,235,820,1
30,1,true,1,263,63,287,0
30,2,true,1,185,186,209,0
30,3,true,1,296,219,236,1
31,1,true,1,906,144,551,1
31,2,true,2,464,40,283,0
31,3,true,2,496,44,281,0
31,4,true,4,645,179,493,0
32,1,true,1,807,12,247,0
32,2,true,2,576,45,390,1
32,3,true,2,352,17,356,3
33,1,true,1,440,5,187,0
33,2,true,2,593,0,144,0
33,3,true,2,390,0,159,0
33,4,true,3,854,134,511,1
33,5,true,3,520,91,509,0
34,1,true,1,508,350,413,1
34,2,true,2,732,288,749,2
34,3,true,2,343,104,475,0
34,4,true,4,1126,51,807,1
35,1,true,1,439,39,440,0
35,2,true,2,764,41,746,0
35,3,true,3,188,71,241,3
35,4,true,3,189,138,272,4
35,5,true,3,181,27,276,4
35,6,true,6,582,114,477,0
