objArrayNum,objNum,isGood,group,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,1,174,43,262,0
1,2,true,1,95,23,121,0
1,3,true,1,364,201,471,0
1,4,true,2,831,256,343,0
1,5,true,2,550,71,200,0
2,1,true,1,593,9,427,0
2,2,true,2,396,19,286,2
2,3,true,3,556,102,160,0
2,4,true,3,514,76,172,0
2,5,true,4,336,63,150,1
2,6,true,4,473,41,116,3
2,7,true,5,129,75,87,0
2,8,true,5,156,69,89,0
3,1,true,1,703,0,160,0
3,2,true,1,134,116,154,0
3,3,true,1,173,66,145,0
3,4,true,4,281,28,168,0
3,5,true,4,268,26,320,0
4,1,true,1,204,61,112,1
4,2,true,1,525,409,264,1
4,3,true,2,155,22,165,0
4,4,true,2,168,41,204,0
5,1,true,1,273,25,309,0
5,2,true,2,4,44,305,0
5,3,true,2,416,231,381,0
5,4,true,1,389,40,182,0
6,1,true,1,607,14,354,0
6,2,true,1,429,51,315,0
6,3,true,3,325,573,135,0
7,1,true,1,156,228,130,0
7,2,true,2,164,283,213,0
7,3,true,3,504,131,170,0
7,4,true,1,158,170,101,0
8,1,true,1,214,68,105,0
8,2,true,1,117,47,142,0
8,3,true,3,288,7,134,0
8,4,true,3,149,63,181,0
8,5,true,3,330,214,160,0
9,1,true,1,318,105,138,0
9,2,true,1,475,113,225,0
9,3,true,2,401,66,208,1
9,4,true,2,656,79,445,0
10,1,true,1,434,131,216,0
10,2,true,1,328,155,186,0
10,3,true,2,53,177,68,0
10,4,true,2,109,222,72,0
10,5,true,1,335,72,298,1
11,1,true,1,205,91,170,1
11,2,true,2,351,95,112,1
12,1,true,1,488,554,414,2
12,2,true,2,734,201,297,0
12,3,true,3,474,117,364,0
12,4,true,4,633,39,293,0
13,1,true,1,742,4,192,2
13,2,true,2,268,185,219,0
13,3,true,2,213,125,103,0
14,1,true,1,526,165,389,0
14,2,true,1,253,112,173,0
14,3,true,1,370,121,231,0
15,1,true,1,464,38,312,0
15,2,true,2,448,141,348,0
15,3,true,3,172,72,140,0
15,4,true,4,96,31,162,1
16,1,true,1,307,83,146,0
16,2,true,1,616,42,133,0
16,3,true,1,507,142,208,0
16,4,true,1,200,92,298,0
17,1,true,1,90,25,129,0
17,2,true,1,112,101,202,0
17,3,true,1,201,61,223,1
18,1,true,1,13,6,79,0
18,2,true,1,392,98,324,1
18,3,true,1,453,46,229,0
18,4,true,2,460,144,197,0
18,5,true,2,494,169,181,0
18,6,true,6,248,77,298,0
19,1,true,1,505,300,147,0
19,2,true,1,539,262,192,0
19,3,true,3,145,64,0,2
19,4,true,3,1,72,2,1
19,5,true,5,15,172,18,0
19,6,true,5,8,167,37,0
19,7,true,2,1021,416,91,0
19,8,true,2,681,150,31,2
20,1,true,1,409,454,139,0
20,2,true,2,379,417,75,0
20,3,true,2,413,105,125,0
21,1,true,1,52,217,188,1
21,2,true,2,691,67,205,1
21,3,true,3,458,409,263,2
21,4,true,4,1171,1,227,1
21,5,true,4,412,6,248,0
22,1,true,1,427,1,245,0
22,2,true,2,95,16,207,0
22,3,true,2,218,21,56,0
