objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,3,18,33,1
1,2,true,12,404,72,1
1,3,true,61,184,229,0
1,4,true,63,287,458,2
2,1,true,3,17,39,0
2,2,true,1,296,113,1
2,3,true,0,104,56,1
3,1,true,10,146,126,3
3,2,true,5,155,108,2
3,3,true,0,7,3,0
3,4,true,0,9,3,1
4,1,true,0,190,6,0
4,2,true,0,100,91,0
4,3,true,0,15,100,0
5,1,true,63,11,82,7
5,2,true,41,25,69,2
5,3,true,2,58,124,1
5,4,true,2,28,5,0
5,5,true,0,20,11,0
5,6,true,127,338,110,0
5,7,true,3,3,5,3
5,8,true,3,1,42,1
5,9,true,1,12,2,0
6,1,true,45,242,191,0
6,2,true,242,93,36,0
6,3,true,113,223,50,1
6,4,true,6,281,129,0
6,5,true,1,49,0,0
7,1,true,65,284,51,4
7,2,true,21,247,111,1
7,3,true,0,6,60,0
7,4,true,180,140,137,3
8,1,true,14,49,34,0
8,2,true,14,29,120,0
8,3,true,155,82,30,31
8,4,true,5,369,1,3
8,5,true,0,7,87,3
8,6,true,80,44,78,1
8,7,true,137,1,44,2
8,8,true,4,108,0,0
8,9,true,8,99,39,1
8,10,true,30,204,20,2
9,1,true,379,204,22,0
9,2,true,307,126,57,0
9,3,true,1,36,6,0
9,4,true,1,48,34,0
9,5,true,2,32,94,2
9,6,true,12,102,58,0
9,7,true,1,69,68,0
9,8,true,1,1,45,0
9,9,true,0,89,14,1
10,1,true,426,417,161,2
10,2,true,1,95,126,1
10,3,true,3,79,48,1
10,4,true,51,227,0,0
11,1,true,3,248,125,5
11,2,true,0,41,67,2
11,3,true,1,117,29,18
