objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,Donor,CellNumber,ImgNum,ImgCellNum,Group,Score
1,1,TRUE,500,672,441,0,10,1,1,1,1,3
1,2,TRUE,497,58,174,0,10,2,1,2,2,4
1,3,TRUE,357,61,195,0,10,3,1,3,,4
1,4,TRUE,318,104,182,0,10,4,1,4,3,3
1,5,TRUE,255,84,214,0,10,5,1,5,,3
2,1,TRUE,0,1,275,0,10,6,2,1,1,3
2,2,TRUE,1,0,248,0,10,7,2,2,,3
2,3,TRUE,291,149,446,0,10,8,2,3,2,3
2,4,TRUE,192,85,323,1,10,9,2,4,3,
2,5,TRUE,291,41,450,0,10,10,2,5,,
3,1,TRUE,553,680,233,0,10,11,3,1,1,3
3,2,TRUE,99,148,65,0,10,12,3,2,,3
3,3,TRUE,209,389,299,0,10,13,3,3,2,5
3,4,TRUE,297,377,247,0,10,14,3,4,,5
3,5,TRUE,188,364,263,2,10,15,3,5,3,4
3,6,TRUE,426,755,713,0,10,16,3,6,,4
4,1,TRUE,460,702,527,1,10,17,4,1,1,3
4,2,TRUE,205,255,303,0,10,18,4,2,2,2
4,3,TRUE,0,10,37,0,10,19,4,3,3,3
5,1,TRUE,3,330,142,0,10,20,5,1,1,3
5,2,TRUE,11,401,202,0,10,21,5,2,,3
5,3,TRUE,738,45,575,8,10,22,5,3,2,4
5,4,TRUE,206,174,276,1,10,23,5,4,3,3
5,5,TRUE,225,200,215,2,10,24,5,5,,3
5,6,TRUE,337,518,226,3,10,25,5,6,4,3
5,7,TRUE,270,443,186,6,10,26,5,7,,3
6,1,TRUE,388,126,657,0,10,27,6,1,1,1
6,2,TRUE,361,180,302,0,10,28,6,2,2,2
6,3,TRUE,405,87,317,1,10,29,6,3,,2
6,4,TRUE,347,69,279,0,10,30,6,4,3,3
6,5,TRUE,239,43,299,1,10,31,6,5,,3
7,1,TRUE,499,412,627,0,10,32,7,1,1,2
7,2,TRUE,537,476,425,2,10,33,7,2,,2
7,3,TRUE,414,596,614,0,10,34,7,3,2,3
8,1,TRUE,352,11,199,1,10,35,8,1,1,3
8,2,TRUE,704,33,597,0,10,36,8,2,2,4
8,3,TRUE,441,67,503,0,10,37,8,3,3,3
9,1,TRUE,339,386,175,1,10,38,9,1,1,3
9,2,TRUE,309,162,185,0,10,39,9,2,,3
9,3,TRUE,207,364,191,1,10,40,9,3,2,3
9,4,TRUE,225,474,234,0,10,41,9,4,,3
9,5,TRUE,196,94,192,3,10,42,9,5,3,2
9,6,TRUE,212,103,215,1,10,43,9,6,,2
10,1,TRUE,149,154,278,1,10,44,10,1,1,3
10,2,TRUE,185,149,248,0,10,45,10,2,,3
10,3,TRUE,185,0,172,0,10,46,10,3,2,2
10,4,TRUE,354,38,109,0,10,47,10,4,,2
10,5,TRUE,508,255,314,0,10,48,10,5,3,3
10,6,TRUE,192,91,137,0,10,49,10,6,,2
10,7,TRUE,480,253,664,0,10,50,10,7,,3
11,1,TRUE,281,505,141,1,10,51,11,1,1,3
11,2,TRUE,260,79,410,0,10,52,11,2,2,3
11,3,TRUE,384,26,329,0,10,53,11,3,,3
11,4,FALSE,410,309,444,0,10,54,11,4,3,3
12,1,FALSE,318,203,0,1,10,55,12,1,1,3
12,2,FALSE,128,39,187,1,10,56,12,2,,3
12,3,FALSE,353,207,0,1,10,57,12,3,2,4
12,4,FALSE,409,268,0,0,10,58,12,4,,4
13,1,FALSE,483,175,200,0,10,59,13,1,1,4
13,2,FALSE,587,111,120,0,10,60,13,2,2,3
13,3,FALSE,472,104,0,1,10,61,13,3,,3
13,4,FALSE,350,134,0,0,10,62,13,4,3,3
14,1,TRUE,407,179,426,0,10,63,14,1,1,4
14,2,TRUE,371,71,247,1,10,64,14,2,,4
14,3,TRUE,268,133,200,0,10,65,14,3,2,4
14,4,TRUE,429,292,120,0,10,66,14,4,,4
