dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,375,574,4
data002.mat,1,0,319,14,0
data002.mat,2,0,67,5,1
data003.mat,1,1,791,389,349
data003.mat,2,1,26,700,0
data004.mat,1,1,458,417,221
data004.mat,2,1,200,159,1
data005.mat,1,1,189,643,2
data005.mat,2,1,427,153,5
data006.mat,1,1,447,318,245
data006.mat,2,1,83,905,10
data007.mat,1,1,230,186,45
data007.mat,2,1,244,226,169
data008.mat,1,1,314,673,19
data008.mat,2,1,241,391,10
data009.mat,1,1,272,136,315
data009.mat,2,1,490,253,299
data010.mat,1,1,453,350,8
data010.mat,2,1,81,37,176
data011.mat,1,1,206,54,246
data011.mat,2,1,0,12,29
data012.mat,1,1,540,650,561
data012.mat,2,1,384,435,272
data012.mat,3,1,508,444,311
data013.mat,1,1,207,118,1
data013.mat,2,1,1003,1113,364
data013.mat,3,1,148,215,188
data013.mat,4,1,277,184,0
data013.mat,5,1,69,22,0
data014.mat,1,1,196,110,0
data014.mat,2,1,302,261,5
data014.mat,3,1,244,248,0
data014.mat,4,1,6,13,0
data014.mat,5,1,50,87,43
data015.mat,1,1,329,242,0
data015.mat,2,1,255,431,0
data015.mat,3,1,297,430,2
data016.mat,1,1,184,155,122
data016.mat,2,1,390,324,275
data016.mat,3,1,459,160,0
data016.mat,4,1,0,10,0
data017.mat,1,1,236,176,239
data017.mat,2,1,270,252,226
data017.mat,3,1,170,247,206
data017.mat,4,1,0,21,3
data018.mat,1,1,146,113,107
data018.mat,2,1,283,201,1
data018.mat,3,1,204,125,1
data018.mat,4,1,224,234,246
data019.mat,1,1,175,341,0
data019.mat,2,1,306,293,0
data019.mat,3,1,194,298,0
data019.mat,4,1,266,371,3
data020.mat,1,1,296,372,267
data020.mat,2,1,155,296,0
data020.mat,3,1,437,337,267
data021.mat,1,0,2,19,5
data021.mat,2,1,65,267,3
data022.mat,1,1,538,574,230
data022.mat,2,1,370,254,318
data023.mat,1,0,0,19,0
data023.mat,2,1,38,739,26
data024.mat,1,1,35,851,41
data025.mat,1,1,392,260,79
data025.mat,2,1,403,496,7
data026.mat,1,1,177,265,39
data026.mat,2,1,7,858,8
data027.mat,1,1,268,647,166
data027.mat,2,1,214,148,1
data027.mat,3,1,408,42,259
data028.mat,1,1,12,609,1
data028.mat,2,1,5,643,5
data029.mat,1,1,85,200,2
data029.mat,2,1,3,984,0
data030.mat,1,1,20,463,429
data031.mat,1,1,56,138,0
data031.mat,2,1,26,369,0
data032.mat,1,1,212,84,174
data032.mat,2,1,524,531,330
data033.mat,1,1,138,242,0
data033.mat,2,1,138,139,58
data034.mat,1,1,220,156,121
data034.mat,2,1,204,373,1
data035.mat,1,1,218,327,214
data035.mat,2,1,177,354,26
data036.mat,1,1,271,629,272
data036.mat,2,1,179,109,61
data037.mat,1,1,389,544,350
data037.mat,2,1,80,408,3
data038.mat,1,1,158,188,50
data038.mat,2,1,357,100,341
data039.mat,1,1,386,427,4
data039.mat,2,1,277,352,2
data039.mat,3,1,276,263,0
data039.mat,4,1,291,386,1
data039.mat,5,1,518,502,3
data039.mat,6,1,343,270,254
data039.mat,7,1,557,193,506
data040.mat,1,1,296,454,13
data040.mat,2,0,729,686,372
data041.mat,1,1,329,559,138
data041.mat,2,1,400,727,136
data042.mat,1,1,247,170,135
data042.mat,2,1,360,79,243
data043.mat,1,1,470,746,179
data043.mat,2,1,363,947,132
data044.mat,1,1,215,240,128
data044.mat,2,1,403,120,129
data045.mat,1,1,329,318,0
data046.mat,1,1,188,109,1
data047.mat,1,1,537,606,293
