objArrayNum,objNum,isGood,group,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,1,16,6,178,2
1,2,true,2,23,58,136,0
1,3,true,2,7,60,58,2
2,1,true,1,46,4,78,4
2,2,true,1,24,17,51,12
2,3,true,2,125,88,166,11
2,4,true,2,11,122,98,7
3,1,true,1,68,105,45,12
3,2,true,1,101,187,25,2
4,1,true,1,0,28,75,23
4,2,true,2,0,40,137,3
5,1,true,1,230,10,40,3
5,2,true,2,0,20,124,33
5,3,false,3,18,14,14,16
5,4,true,4,69,15,160,6
5,5,true,4,203,12,166,12
5,6,true,4,31,138,96,6
5,7,true,4,150,15,89,3
6,1,true,1,1,5,112,1
6,2,true,1,1,1,104,1
7,1,true,1,0,32,302,0
7,2,false,2,1,38,39,10
7,3,true,3,0,48,91,0
8,1,true,1,0,2,0,0
9,1,true,1,0,0,44,0
9,2,true,1,0,0,4,1
9,3,true,2,212,5,0,0
9,4,true,2,331,4,0,0
10,1,true,1,237,38,97,20
10,2,true,2,0,161,209,8
11,1,true,1,63,73,43,6
11,2,true,1,184,83,55,10
11,3,true,3,5,17,60,6
12,1,true,1,48,5,62,9
12,2,true,1,0,17,63,5
12,3,true,3,2,2,42,14
12,4,true,2,1,1,0,1
12,5,true,2,1,1,1,5
13,1,true,1,1,43,115,0
13,2,true,2,1,17,143,5
14,1,true,1,0,7,56,1
14,2,true,2,0,28,369,17
15,1,true,1,27,1,17,0
15,2,true,1,120,4,16,0
15,3,true,3,183,11,56,8
15,4,true,4,3,3,73,0
15,5,true,4,11,22,35,2
15,6,true,4,89,197,105,7
16,1,true,1,0,109,145,17
16,2,true,2,0,14,75,0
16,3,true,3,0,20,199,23
17,1,true,1,0,227,173,10
17,2,true,1,0,207,79,14
17,3,true,3,5,252,149,0
18,1,true,1,110,143,108,0
18,2,true,1,71,51,194,1
18,3,true,3,169,49,65,0
18,4,true,3,259,100,201,2
18,5,true,5,58,55,58,1
18,6,true,6,0,22,311,0
19,1,true,1,2,3,125,4
19,2,true,1,1,8,100,3
19,3,true,3,1,150,75,0
19,4,true,2,0,32,27,0
19,5,true,2,0,89,89,0
21,1,true,1,0,24,171,0
21,2,true,2,1,21,154,6
21,3,true,3,2,8,107,4
21,4,true,3,1,8,175,4
21,5,true,5,3,40,130,4
21,6,true,5,0,3,110,7
21,7,true,5,0,5,97,5
21,8,true,5,3,18,88,2
21,9,true,5,1,1,154,10
23,1,true,1,0,6,100,7
23,2,true,2,12,41,103,11
24,1,true,1,1,7,271,0
24,2,true,2,20,16,62,2
24,3,false,2,9,5,7,24
24,4,false,2,1,2,9,3
25,1,true,1,14,84,159,0
25,2,true,1,46,62,200,3
25,3,true,1,187,33,170,0
25,4,true,4,0,8,72,4
25,5,false,5,18,24,16,18
25,6,true,6,288,21,61,13
26,1,true,1,0,204,65,3
26,2,true,2,103,123,55,2
26,3,true,2,38,142,60,3
26,4,true,4,1,23,135,23
26,5,true,5,0,36,75,6
26,6,true,5,0,51,112,5
27,1,true,1,0,13,318,32
27,2,true,1,0,0,226,15
27,3,true,3,138,5,182,0
27,4,true,2,0,176,127,0
27,5,true,2,0,246,121,5
28,1,true,1,46,28,114,0
28,2,true,1,61,43,182,8
28,3,true,3,2,59,366,18
28,4,false,4,44,39,0,38
28,5,true,5,0,17,262,20
29,1,true,1,0,11,239,20
29,2,true,1,0,40,275,15
29,3,true,1,0,23,141,22
29,4,true,1,0,10,96,5
29,5,true,1,16,6,47,0
29,6,true,1,132,13,61,16
29,7,true,1,99,26,80,5
30,1,true,1,12,73,47,4
30,2,true,1,65,204,55,3
30,3,true,3,115,117,133,10
30,4,true,3,44,73,79,5
30,5,true,5,9,36,149,18
30,6,true,5,62,140,280,9
31,1,true,1,1,29,111,1
31,2,true,1,1,9,84,0
31,3,true,3,0,38,181,3
