objArrayNum,objNum,isGood,group,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,FALSE,1,13,12,16,20
1,2,TRUE,2,1,0,116,29
1,3,TRUE,2,0,0,206,9
1,4,TRUE,3,11,185,118,11
1,5,TRUE,3,7,173,104,16
2,1,TRUE,1,35,284,82,6
2,2,TRUE,2,0,0,224,45
2,3,TRUE,2,0,0,333,36
4,1,TRUE,1,10,30,196,1
4,2,TRUE,2,142,35,110,1
4,3,TRUE,3,0,314,96,1
5,1,TRUE,1,1,1,457,32
5,2,TRUE,2,0,1,214,27
5,3,TRUE,3,0,87,63,7
6,1,TRUE,1,4,71,81,0
6,2,TRUE,2,0,2,35,0
6,3,TRUE,2,0,1,72,0
6,4,TRUE,3,0,36,41,0
6,5,TRUE,3,0,72,69,0
7,1,TRUE,1,441,440,266,77
7,2,FALSE,2,7,17,6,18
7,3,TRUE,2,0,0,0,0
8,1,TRUE,1,19,409,72,6
8,2,TRUE,1,49,421,101,8
9,1,TRUE,1,0,0,513,7
9,2,TRUE,1,0,0,143,0
9,3,TRUE,2,0,0,202,0
9,4,TRUE,2,0,0,121,3
10,1,TRUE,1,0,4,278,47
10,2,TRUE,2,19,519,277,8
10,3,TRUE,2,48,67,125,22
10,4,TRUE,2,15,394,237,13
11,1,TRUE,1,99,237,104,3
11,2,TRUE,1,76,180,52,3
12,1,TRUE,1,0,0,115,48
12,2,TRUE,2,1,163,84,1
12,3,TRUE,2,4,252,137,0
12,4,TRUE,4,33,0,197,0
12,5,TRUE,1,0,38,253,7
12,6,TRUE,1,0,0,122,1
13,1,TRUE,1,176,86,102,9
13,2,TRUE,1,67,132,28,6
13,3,TRUE,1,104,85,26,0
13,4,TRUE,2,0,1,240,7
13,5,TRUE,2,1,0,163,4
13,6,TRUE,3,0,2,120,0
13,7,TRUE,3,1,0,160,0
14,1,TRUE,1,4,6,502,45
14,2,TRUE,2,261,78,85,0
14,3,TRUE,3,2,10,200,16
14,4,TRUE,4,1,0,170,3
14,5,TRUE,5,1,3,85,6
14,6,TRUE,6,1,37,155,0
15,1,TRUE,1,0,0,264,1
15,2,TRUE,2,0,1,203,2
15,3,TRUE,2,0,0,138,33
15,4,TRUE,4,0,0,269,3
15,5,TRUE,5,28,54,98,83
16,1,TRUE,1,0,0,250,3
16,2,TRUE,2,17,0,366,2
16,3,TRUE,3,178,167,341,3
17,1,TRUE,1,0,0,471,12
17,2,TRUE,2,0,9,251,3
17,3,TRUE,3,0,6,246,0
18,1,TRUE,1,0,32,842,52
18,2,TRUE,2,8,24,180,7
18,3,TRUE,3,62,88,166,6
18,4,TRUE,3,2,78,162,6
19,1,TRUE,1,0,0,236,7
19,2,TRUE,1,1,0,189,23
19,3,TRUE,2,1,202,128,3
19,4,TRUE,2,0,179,135,1
19,5,TRUE,3,1,0,238,49
20,1,TRUE,1,83,16,50,0
20,2,TRUE,1,93,66,80,1
20,3,TRUE,3,0,0,335,1
20,4,TRUE,4,1,0,448,0
21,1,TRUE,1,0,24,111,0
21,2,TRUE,1,0,52,105,1
21,3,TRUE,3,88,261,196,10
21,4,TRUE,2,0,42,28,5
21,5,TRUE,2,0,33,40,1
22,1,TRUE,1,198,23,72,27
22,2,TRUE,1,195,30,91,21
22,3,TRUE,2,0,0,209,48
23,1,TRUE,1,3,71,140,1
23,2,TRUE,2,24,87,93,8
23,3,TRUE,3,114,39,51,1
23,4,TRUE,3,75,156,55,1
24,1,TRUE,1,336,451,327,20
25,1,TRUE,1,505,32,2,1
25,2,TRUE,2,0,1,216,24
25,3,TRUE,2,0,5,233,35
27,1,TRUE,1,0,0,230,15
27,2,TRUE,2,0,0,333,40
28,1,TRUE,1,106,52,77,1
28,2,TRUE,1,156,49,171,1
28,3,TRUE,3,2,1,36,2
28,4,TRUE,4,0,0,241,49
28,5,TRUE,2,3,127,96,0
29,1,TRUE,1,4,330,98,11
29,2,TRUE,2,0,0,223,4
29,3,TRUE,2,0,0,215,6
30,1,TRUE,1,0,43,295,22
31,1,TRUE,1,0,0,280,48
31,2,TRUE,2,99,0,43,0
31,3,TRUE,3,1,0,16,1
31,4,TRUE,4,1,0,134,5
31,5,TRUE,4,0,0,129,0
32,1,TRUE,1,4,0,74,0
32,2,TRUE,1,5,13,111,0
32,3,TRUE,3,0,0,347,11
32,4,TRUE,3,0,0,147,7
