dataFile,objNum,isGood,cy.RNA,GAPDH.RNA
data001.mat,1,0,4,609
data001.mat,2,1,7,359
data001.mat,3,1,18,196
data002.mat,1,1,26,296
data002.mat,2,1,2,163
data002.mat,3,1,32,56
data003.mat,1,1,20,362
data003.mat,2,1,14,442
data003.mat,3,1,15,525
data003.mat,4,1,11,271
data003.mat,5,1,24,523
data003.mat,6,1,12,408
data005.mat,1,0,0,576
data005.mat,2,0,28,451
data006.mat,1,1,13,356
data006.mat,2,1,23,612
data006.mat,3,1,11,364
data006.mat,4,0,2,191
data007.mat,1,1,23,372
data007.mat,2,1,31,321
data007.mat,3,0,3,19
data008.mat,1,1,11,239
data008.mat,2,1,0,592
data009.mat,1,1,1,602
data009.mat,2,1,0,359
