donor,media,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,1,21,1,639.2750786,197.1812692,9.009164883,1,161192700,2490.112605,64733.09668,333.096683,829448.249
1,1,21,1,1175.722449,2035.321478,9.24223763,1,170112346,2620.620761,64912.9964,512.9963951,1344369.003
1,1,21,1,449.8135911,1241.893752,20.46902097,3,832677519,12854.17055,64778.78258,378.7825777,4868935.853
1,1,21,1,1289.384331,277.0267774,17.08649058,6,580381438,8956.857376,64797.44107,397.441068,3559822.962
1,1,21,1,1564.42139,533.6549353,26.59476401,7,1405201147,21699.12382,64758.42798,358.4279802,7777573.123
1,0,21,1,1064.557588,2023.035428,17.65283362,1,620028282,9560.459635,64853.39677,452.3967692,4325121.051
1,0,21,1,92.63631197,485.7504224,9.845703797,2,191794129,2974.017011,64489.92333,88.92333315,264459.5054
1,0,21,1,2507.133136,2037.406156,9.446970874,2,176630949,2738.010245,64510.69689,109.696893,300351.2169
1,0,21,1,2101.563714,1501.93183,11.26446409,3,251997106,3892.879722,64732.82609,331.8260881,1291759.05
1,0,21,1,321.7759087,810.8119761,12.0099256,2,286165909,4425.176019,64667.68954,266.6895434,1180148.172
1,0,21,1,2268.524099,422.2773602,9.712736305,1,186326671,2894.230475,64378.65698,-22.34301844,-64665.84489
1,0,21,1,1473.847058,626.0259326,18.70769252,3,695955789,10737.18318,64817.3527,416.3526975,4470455.179
1,0,21,1,2017.656942,558.2201612,9.752268506,2,188394254,2917.83827,64566.37982,165.3798155,482551.5549
1,0,21,1,2297.387069,1073.768107,9.534573219,1,179866044,2789.025162,64490.64944,89.64944099,250034.5467
1,0,21,1,1585.726061,628.0865536,10.65382355,2,224622825,3482.257765,64504.93909,103.9390877,361942.6951
1,0,21,1,363.2268945,49.15567416,11.86373732,1,278240890,4318.10263,64435.91406,34.91406301,150762.5073
1,0,21,1,2507.908069,1149.410159,9.320700226,1,171710947,2665.305508,64424.48961,23.48960817,62606.98205
1,0,21,1,393.3187695,1670.123023,10.51553041,1,218767669,3392.440841,64486.80441,85.80441181,291086.391
1,0,21,1,2148.891886,1285.568107,10.25550874,1,207967198,3226.742685,64451.12558,50.12557631,161742.3367
1,0,21,1,1756.001172,1973.365209,11.35827703,2,255173595,3957.991252,64470.47978,69.47978083,275000.3647
1,0,21,1,801.8183438,61.26246788,13.4666312,2,359223654,5563.753097,64564.98837,163.988373,912390.8179
1,0,21,1,688.3185704,1858.059657,10.07574614,1,200897005,3114.61485,64501.39574,100.3957445,312694.0767
1,0,21,1,539.3195234,155.7795837,13.28255548,2,349362562,5412.690484,64545.08401,144.0840058,779882.127
1,0,21,1,658.496721,1789.958472,8.459950249,1,141130259,2195.763362,64273.89283,-127.1071681,-279097.2628
1,0,21,1,38.11622929,247.9645928,9.240283059,1,168514495,2619.512448,64330.48072,-70.51928211,-184726.1373
1,0,21,1,62.23905059,550.81841,9.794275496,1,189729699,2943.029041,64467.49127,66.49126581,195685.7262
1,0,21,1,1895.913699,525.9132456,10.1483732,1,203399420,3159.677633,64373.47212,-27.5278782,-86979.22104
1,0,21,1,553.3635645,37.13689487,11.04817971,1,241786483,3744.823693,64565.51838,164.5183773,616092.3174
1,0,21,1,1974.756932,323.8587438,6.246227945,1,77358093,1196.976362,64627.92036,226.9203578,271618.3043
1,0,21,1,867.9386128,1903.82192,9.722353809,2,187408737,2899.965019,64624.48195,223.4819474,648089.8299
1,0,21,1,1269.087153,1088.246051,7.308486178,1,105547563,1638.720082,64408.53698,7.53697518,12350.99259
1,0,21,1,2284.310001,1435.697692,10.25707977,2,208614788,3227.731363,64632.01689,231.01689,745660.4615
1,0,21,1,1451.379655,1071.042178,8.115177299,1,130391996,2020.439923,64536.43809,135.4380905,273644.525
1,0,21,1,1231.206436,645.5738833,9.06391688,2,162757988,2520.47123,64574.42802,173.4280182,437120.3303
1,0,21,1,2038.426355,1485.594478,12.00573017,1,285231542,4422.084865,64501.59839,100.5983904,444854.6196
1,0,21,1,2462.759864,894.7779327,8.676073149,2,148680255,2309.384922,64380.8893,-20.11069675,-46443.33984
1,0,21,1,2011.461977,1780.604118,9.943990214,1,195325297,3033.690646,64385.37075,-15.62925484,-47414.32423
1,0,21,1,1102.354614,186.0809877,10.42010987,2,215091931,3331.152477,64569.82455,168.8245509,562380.3208
1,0,21,1,1558.314938,242.094515,7.963168328,1,125210946,1945.457323,64360.67475,-40.32525,-78451.05291
1,0,21,1,60.48788022,409.7904474,8.633903435,1,147514825,2286.990129,64501.73227,100.7322736,230373.7153
1,0,21,1,566.1057201,1256.310552,11.41671359,2,257666995,3998.822508,64435.71689,34.71689216,138826.6898
1,0,21,1,44.86370375,1764.060554,10.11863006,1,202124571,3141.183826,64346.62287,-54.37712747,-170808.5533
1,0,21,1,1737.192598,894.3723809,10.23326483,5,207227099,3212.760437,64501.26086,100.2608612,322114.1283
1,0,21,1,1774.654057,1591.970601,13.95467132,2,385775814,5974.329061,64572.24067,171.2406731,1023048.13
1,0,21,1,1664.006513,1341.724847,7.968863306,2,125191307,1948.240963,64258.63604,-142.3639552,-277359.2892
1,0,21,1,329.813888,2132.978834,5.90316141,1,68897143,1069.102223,64443.92454,42.92454023,45890.72139
1,0,21,1,1127.552951,508.4808706,10.44904615,1,216817239,3349.679158,64727.7631,326.763101,1094551.549
1,0,21,1,2510.141818,1312.33375,12.21576133,2,296097304,4578.160287,64676.04572,275.0457169,1259203.378
1,0,21,1,461.4944749,261.4464425,8.21345594,1,133554075,2069.673217,64529.06378,128.0637823,265050.1802
1,0,21,1,931.8752335,803.9674481,8.281209175,1,135103232,2103.95974,64213.79145,-187.2085463,-393879.2444
1,0,21,1,2352.278957,1134.688268,8.159725293,2,131885980,2042.683082,64565.07188,164.0718803,335146.854
1,0,21,1,1988.047674,977.8836416,6.342035924,1,79191586,1233.9777,64175.86475,-225.135248,-277811.8755
1,0,21,1,1489.393646,801.2151829,11.71758491,1,271572673,4212.366348,64470.3358,69.33580285,292067.8027
1,0,21,1,1206.745294,617.3469542,10.11098234,2,202293750,3136.437373,64497.94017,96.94016586,304046.7591
1,0,21,1,1653.228452,682.2693315,7.494888786,1,111234955,1723.377037,64544.75871,143.7587101,247750.4597
1,0,21,1,2127.52512,843.6585019,10.65885845,2,224240018,3485.549906,64334.18658,-66.81341899,-232881.5063
1,0,21,1,2076.45516,571.3572896,9.905547664,2,193957057,3010.280049,64431.56579,30.56578686,92011.57835
1,0,21,1,1308.386988,591.7625013,8.260638048,2,135143693,2093.519945,64553.33438,152.3343755,318915.0533
1,0,21,1,1057.510016,833.541072,12.08177277,1,289357951,4478.27999,64613.63552,212.6355184,952241.387
