dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data005.mat,4,0,0,0,40,23
data001.mat,1,1,1,17,4,11
data001.mat,2,1,2,0,8,14
data001.mat,3,1,1,113,117,91
data001.mat,4,1,1,19,279,99
data002.mat,1,1,2,7,11,70
data002.mat,2,1,1,39,102,169
data003.mat,1,1,3,392,310,330
data003.mat,2,1,1,34,203,137
data003.mat,3,1,1,17,377,53
data004.mat,1,1,7,9,208,60
data004.mat,2,1,1,34,26,18
data005.mat,1,1,1,8,80,15
data005.mat,2,1,3,4,16,9
data005.mat,3,1,3,4,171,198
data005.mat,4,1,3,223,167,101
data006.mat,1,1,2,14,52,128
data006.mat,2,1,3,21,215,209
data006.mat,3,1,3,58,6,16
data006.mat,4,1,1,8,45,17
data006.mat,5,1,1,6,105,226
data007.mat,1,1,2,106,121,199
data007.mat,2,1,3,2,8,15
data007.mat,3,1,1,7,82,81
data007.mat,4,1,2,4,86,246
data007.mat,5,1,3,2,98,199
data007.mat,6,1,2,1,38,20
data008.mat,1,1,0,15,30,12
data008.mat,2,1,2,10,80,8
data008.mat,3,1,3,0,158,249
data008.mat,4,1,3,17,80,87
data008.mat,5,1,3,73,95,243
data009.mat,1,1,1,10,206,136
data009.mat,2,1,2,54,156,39
data009.mat,3,1,9,64,160,180
data010.mat,1,1,0,478,211,341
data010.mat,2,1,1,11,129,202
data010.mat,3,1,2,93,21,27
data011.mat,1,1,1,12,33,13
data011.mat,2,1,0,46,86,108
data011.mat,3,1,3,3,154,195
data012.mat,1,1,1,14,37,40
data013.mat,1,1,1,14,177,111
data014.mat,1,1,2,188,109,282
data001.mat,1,1,0,101,147,129
data001.mat,2,1,1,1,518,26
data001.mat,3,1,0,43,409,148
data002.mat,1,1,1,3,135,200
data002.mat,2,1,0,1,186,89
data002.mat,3,1,0,2,92,216
data002.mat,4,1,0,5,108,249
data003.mat,1,1,0,1,84,190
data003.mat,2,1,0,104,205,161
data003.mat,3,1,0,333,149,171
data004.mat,1,1,1,7,22,30
data004.mat,2,1,0,13,327,399
data004.mat,3,1,0,4,167,303
data004.mat,4,1,2,47,120,275
data005.mat,1,1,1,3,3,7
data005.mat,2,1,0,39,236,623
data005.mat,3,1,12,1,26,89
data006.mat,1,1,0,8,157,216
data006.mat,2,1,0,6,189,259
data006.mat,3,1,0,17,95,156
data007.mat,1,1,1,373,422,603
data008.mat,1,1,4,1524,809,1093
data008.mat,2,1,1,1,209,292
data009.mat,1,1,2,252,269,209
data009.mat,2,1,1,240,253,99
data010.mat,1,1,0,2,208,62
data010.mat,2,1,0,0,29,0
data011.mat,1,1,0,3,400,456
data011.mat,2,1,0,9,144,210
data011.mat,3,1,1,3,277,244
data012.mat,1,1,0,1,77,24
data012.mat,2,1,0,169,356,175
data013.mat,1,1,1,1,8,17
data013.mat,2,1,0,41,115,175
data014.mat,1,1,2,369,258,266
data014.mat,2,1,0,5,3,138
data014.mat,3,1,0,97,173,356
data014.mat,4,1,3,40,135,281
data015.mat,1,1,0,3,3,0
data015.mat,2,1,0,229,195,135
data016.mat,1,1,0,103,247,423
data016.mat,2,1,0,2,7,0
data017.mat,1,1,0,1,233,143
data017.mat,2,1,0,7,272,176
data017.mat,3,1,0,5,45,43
data018.mat,1,1,0,4,204,153
data018.mat,2,1,0,46,273,69
data019.mat,1,1,1,4,105,54
data019.mat,2,1,0,7,261,191
data020.mat,1,1,3,52,58,55
data020.mat,2,1,0,6,195,108
data021.mat,1,1,3,198,234,466
data021.mat,2,1,1,63,146,268
data021.mat,3,1,0,102,115,47
data021.mat,4,1,3,61,103,156
data022.mat,1,1,1,402,103,84
data022.mat,2,1,0,3,56,35
data023.mat,1,1,0,195,321,387
data023.mat,2,1,2,282,114,87
data024.mat,1,1,1,10,128,153
data024.mat,2,1,0,1,81,135
