objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,133,14,51,0
1,2,true,83,5,35,0
1,3,true,62,10,49,0
1,4,true,69,1,68,1
1,5,true,97,1,44,1
1,6,true,131,5,32,0
1,7,true,127,0,60,0
1,8,true,156,3,56,2
1,9,true,148,5,76,0
1,10,true,69,3,58,0
1,11,true,146,3,29,0
1,12,true,42,1,22,0
2,1,true,166,2,143,0
2,2,true,148,2,124,0
2,3,true,124,86,75,0
2,4,true,151,4,79,0
2,5,true,165,5,159,2
2,6,true,103,8,75,1
3,1,true,92,7,81,1
3,2,true,190,9,217,0
3,3,true,95,26,34,0
3,4,true,206,13,16,0
3,5,true,154,18,23,1
3,6,true,107,3,22,0
4,1,true,144,5,118,0
4,2,true,267,10,135,0
4,3,true,199,22,175,0
4,4,true,77,16,75,0
4,5,true,89,14,47,0
4,6,true,183,30,91,2
4,7,true,234,8,36,0
4,8,true,181,7,24,0
4,9,true,102,3,36,0
4,10,true,126,1,35,0
4,11,true,222,3,9,0
4,12,true,323,26,91,2
4,13,true,154,141,75,0
4,14,true,136,115,59,0
4,15,true,120,3,24,0
4,16,true,109,5,27,0
4,17,true,99,5,41,0
4,18,true,124,5,41,0
5,1,true,229,3,54,0
5,2,true,196,4,50,0
5,3,true,93,59,31,0
5,4,true,135,37,19,1
5,5,true,131,94,28,0
5,6,true,108,51,11,0
6,1,true,266,1,42,1
6,2,true,79,0,5,0
6,3,false,113,0,8,0
6,4,true,163,13,45,0
6,5,true,170,3,33,0
7,1,true,207,6,55,0
7,2,true,168,4,45,0
7,3,true,182,114,70,0
7,4,true,194,1,109,0
8,1,true,153,0,24,0
8,2,true,246,1,82,0
8,3,true,272,8,143,2
8,4,true,239,2,113,1
8,5,true,187,2,63,0
8,6,true,328,5,171,0
8,7,true,237,5,34,1
8,8,true,124,107,51,0
8,9,true,161,30,13,0
8,10,true,142,10,81,1
8,11,true,231,32,30,0
8,12,true,95,6,15,0
8,13,true,97,1,26,0
9,1,true,136,10,61,0
9,2,true,128,106,86,0
9,3,true,166,5,44,1
9,4,true,125,1,52,1
9,5,true,246,15,76,1
9,6,true,126,1,0,0
9,7,true,120,9,0,0
10,1,true,171,0,4,0
10,2,true,191,6,18,0
10,3,true,196,4,38,0
10,4,true,205,14,35,0
10,5,true,267,0,10,0
10,6,true,232,4,10,0
10,7,true,160,2,107,0
10,8,true,78,0,135,0
