objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,65,486,1926,4
1,2,true,279,45,1037,2
1,3,true,211,336,2177,3
1,4,true,130,157,724,2
2,1,true,129,318,660,0
2,2,true,172,41,379,3
2,3,true,128,307,650,0
2,4,true,108,72,786,21
3,1,true,117,76,536,0
3,2,true,344,764,1176,2
3,3,true,205,250,627,3
3,4,true,110,491,683,3
3,5,true,136,182,801,1
3,6,true,191,110,1016,2
4,1,true,329,67,576,7
4,2,true,177,36,785,12
4,3,true,142,211,725,2
4,4,true,200,441,920,4
4,5,true,169,36,808,2
4,6,true,9,263,1127,1
4,7,false,466,330,805,1
5,1,true,79,198,1481,3
5,2,true,382,473,1118,0
5,3,true,210,96,753,1
5,4,true,43,164,1075,1
5,5,true,0,13,681,3
6,1,true,148,223,538,0
6,2,true,9,67,860,2
6,3,true,1,20,635,0
6,4,true,17,94,818,4
6,5,true,1,27,916,1
6,6,true,10,92,617,3
6,7,true,1,12,1206,2
6,8,true,26,105,833,1
7,1,true,310,28,524,0
7,2,true,188,13,681,3
7,3,true,384,315,944,3
8,1,true,298,5,681,2
8,2,true,116,237,585,5
8,3,true,88,57,702,0
8,4,true,231,165,650,7
8,5,true,9,124,742,3
8,6,true,83,29,630,0
9,1,true,31,24,750,1
9,2,true,153,29,561,2
9,3,true,29,19,573,1
10,1,true,87,270,740,3
10,2,true,13,17,551,0
10,3,true,185,244,613,1
10,4,true,201,68,678,0
10,5,true,250,386,801,1
10,6,true,431,136,773,6
11,1,true,192,192,1131,2
11,2,true,2,19,416,2
11,3,true,26,241,571,4
11,4,true,164,176,975,3
12,1,true,267,211,1000,1
12,2,true,43,95,722,5
12,3,true,3,17,590,3
12,4,true,132,100,591,0
13,1,true,14,122,445,3
13,2,true,3,94,1220,3
13,3,true,179,417,1002,0
13,4,true,12,55,995,6
14,1,true,44,120,1013,0
14,2,true,16,345,702,1
14,3,true,65,26,533,5
14,4,true,117,66,431,2
14,5,true,5,72,573,2
14,6,true,120,39,493,10
15,1,true,288,286,706,10
15,2,true,3,27,656,0
15,3,true,2,6,899,0
15,4,true,234,122,1100,3
15,5,true,15,79,1141,0
15,6,true,2,25,1010,1
15,7,true,12,55,922,0
16,1,true,235,313,858,4
16,2,true,47,194,1112,2
16,3,true,45,623,1643,2
16,4,true,61,227,1159,11
17,1,true,150,426,948,2
17,2,true,96,101,446,0
17,3,true,133,140,995,6
17,4,true,58,90,521,2
17,5,true,104,12,849,2
17,6,true,24,36,732,2
17,7,true,264,185,1070,6
17,8,true,193,319,933,0
18,1,true,228,154,960,0
18,2,true,67,149,971,0
18,3,true,112,216,530,2
18,4,true,3,66,663,1
18,5,true,73,169,358,2
18,6,true,1,67,1763,2
19,1,true,358,173,1027,9
19,2,true,119,170,711,2
19,3,true,114,342,885,0
20,1,true,315,60,1392,1
20,2,true,451,73,1121,4
20,3,true,169,73,730,1
20,4,true,2,32,1488,0
21,1,true,156,61,432,8
21,2,true,1,8,933,7
21,3,true,160,48,434,1
21,4,true,337,265,638,2
21,5,true,317,177,970,1
21,6,true,46,155,812,1
21,7,true,266,188,753,1
22,1,true,315,552,955,1
22,2,true,48,136,1257,2
22,3,true,56,358,1062,1
22,4,true,27,509,1074,1
22,5,true,152,96,577,3
