objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,Donor,CellNumber,ImgNum,ImgCellNum,Group,Score
1,1,TRUE,575,605,259,1,9,1,1,1,1,4
1,2,TRUE,669,543,270,0,9,2,1,2,,4
1,3,TRUE,421,321,225,0,9,3,1,3,,4
1,4,TRUE,319,268,193,0,9,4,1,4,2,3
1,5,TRUE,268,277,226,0,9,5,1,5,,3
1,6,TRUE,537,275,253,0,9,6,1,6,3,3
1,7,TRUE,561,251,292,0,9,7,1,7,,3
1,8,TRUE,446,5,201,0,9,8,1,8,4,2
1,9,TRUE,337,7,205,0,9,9,1,9,,2
1,10,TRUE,470,512,267,0,9,10,1,10,5,3
1,11,TRUE,178,256,109,0,9,11,1,11,,3
1,12,TRUE,142,138,113,0,9,12,1,12,,3
2,1,TRUE,344,135,264,0,9,13,2,1,1,2
2,2,TRUE,410,203,266,0,9,14,2,2,,3
2,3,TRUE,266,167,307,0,9,15,2,3,,3
2,4,TRUE,295,219,373,0,9,16,2,4,,3
2,5,TRUE,308,317,251,1,9,17,2,5,2,4
2,6,TRUE,213,264,230,0,9,18,2,6,,4
2,7,TRUE,239,298,190,0,9,19,2,7,3,2
2,8,TRUE,531,469,428,0,9,20,2,8,,2
2,9,TRUE,492,282,276,0,9,21,2,9,4,3
2,10,TRUE,500,352,258,0,9,22,2,10,,3
2,11,TRUE,382,489,177,0,9,23,2,11,,3
2,12,TRUE,253,212,149,0,9,24,2,12,5,2
2,13,TRUE,506,320,279,1,9,25,2,13,,3
2,14,TRUE,466,431,398,1,9,26,2,14,6,3
2,15,TRUE,369,264,512,1,9,27,2,15,,2
2,16,TRUE,352,155,322,0,9,28,2,16,7,2
2,17,TRUE,402,116,375,0,9,29,2,17,,2
3,1,TRUE,488,259,529,0,9,30,3,1,1,1
3,2,TRUE,265,456,237,0,9,31,3,2,2,3
3,3,TRUE,359,686,224,1,9,32,3,3,,3
3,4,TRUE,490,171,157,0,9,33,3,4,3,3
3,5,TRUE,465,134,140,0,9,34,3,5,,3
4,1,TRUE,720,760,331,1,9,35,4,1,1,3
4,2,FALSE,884,155,3,17,9,36,4,2,2,3
4,3,TRUE,476,325,87,3,9,37,4,3,,3
5,1,TRUE,152,398,163,1,9,38,5,1,1,2
5,2,TRUE,152,464,194,0,9,39,5,2,,2
5,3,TRUE,375,564,189,0,9,40,5,3,2,3
5,4,TRUE,329,507,174,0,9,41,5,4,,3
5,5,TRUE,479,150,133,2,9,42,5,5,4,2
5,6,TRUE,671,244,154,1,9,43,5,6,,2
6,1,FALSE,148,2018,69,85,9,44,6,1,1,3
6,2,TRUE,376,148,140,0,9,45,6,2,2,3
6,3,TRUE,579,341,163,0,9,46,6,3,,3
6,4,TRUE,356,186,300,2,9,47,6,4,3,1
6,5,TRUE,314,206,316,0,9,48,6,5,,1
6,6,TRUE,245,77,215,0,9,49,6,6,5,1
6,7,TRUE,272,94,351,0,9,50,6,7,,1
6,8,FALSE,414,82,69,4,9,51,6,8,6,3
7,1,TRUE,760,375,438,11,9,52,7,1,1,3
7,2,TRUE,636,418,489,14,9,53,7,2,,3
7,3,TRUE,586,196,337,0,9,54,7,3,2,4
7,4,TRUE,599,230,310,0,9,55,7,4,,4
7,5,TRUE,560,83,147,0,9,56,7,5,3,2
7,6,TRUE,562,46,148,0,9,57,7,6,,2
7,7,TRUE,396,592,223,0,9,58,7,7,4,2
7,8,TRUE,367,269,81,0,9,59,7,8,,2
8,1,TRUE,381,245,237,0,9,60,8,1,1,2
8,2,TRUE,273,194,172,0,9,61,8,2,,2
8,3,TRUE,315,28,303,0,9,62,8,3,2,
8,4,TRUE,676,442,293,2,9,63,8,4,3,3
8,5,TRUE,527,204,375,1,9,64,8,5,,3
9,1,TRUE,252,211,187,0,9,65,9,1,1,3
9,2,TRUE,256,167,140,0,9,66,9,2,,3
9,3,TRUE,381,351,293,0,9,67,9,3,2,2
9,4,TRUE,591,526,280,0,9,68,9,4,,2
9,5,TRUE,338,365,314,0,9,69,9,5,3,2
10,1,TRUE,324,273,155,0,9,70,10,1,1,3
10,2,TRUE,424,296,216,0,9,71,10,2,,3
10,3,TRUE,224,124,100,0,9,72,10,3,2,2
10,4,TRUE,238,101,152,0,9,73,10,4,,2
10,5,TRUE,435,241,305,0,9,74,10,5,3,3
10,6,TRUE,453,284,289,1,9,75,10,6,,3
11,1,TRUE,789,47,271,0,9,76,11,1,1,4
11,2,TRUE,769,50,262,0,9,77,11,2,,4
11,3,TRUE,251,137,196,1,9,78,11,3,2,3
11,4,TRUE,224,151,192,0,9,79,11,4,,3
11,5,TRUE,175,299,83,0,9,80,11,5,3,1
11,6,TRUE,301,288,86,0,9,81,11,6,4,3
