dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,1,634,5
data001.mat,2,1,1,1232,24
data002.mat,1,1,1,1328,53
data002.mat,2,1,1,1536,111
data003.mat,1,1,3,1993,138
data003.mat,2,1,21,1551,466
data004.mat,1,1,1,2669,68
data004.mat,2,1,5,1822,8
data005.mat,1,1,0,595,165
data005.mat,2,1,1,1256,219
data005.mat,3,1,0,1197,233
data005.mat,4,1,26,1088,22
data005.mat,5,1,27,1383,14
data006.mat,1,1,2,1458,3
data006.mat,2,1,1,1468,107
data006.mat,3,1,0,833,49
data007.mat,1,1,2,452,5
data007.mat,2,1,0,1022,79
data008.mat,1,1,1,1877,126
data008.mat,2,1,2,1675,222
data008.mat,3,1,12,1844,17
data009.mat,1,1,23,1402,20
data009.mat,2,1,3,909,19
data009.mat,3,1,1,1085,4
data010.mat,1,1,6,1431,375
data010.mat,2,1,0,327,22
data010.mat,3,1,0,788,338
data011.mat,1,1,5,1102,32
data011.mat,2,1,9,1574,42
data011.mat,3,1,0,764,3
data012.mat,1,1,3,1479,341
data012.mat,2,1,0,962,130
data012.mat,3,1,5,971,53
data013.mat,1,1,1,873,120
data013.mat,2,1,0,996,409
data013.mat,3,1,2,827,13
data014.mat,1,1,4,830,6
data014.mat,2,1,4,832,17
data015.mat,1,1,0,1860,211
data015.mat,2,1,0,497,125
data015.mat,3,1,5,1376,30
data015.mat,4,1,5,1073,25
data016.mat,1,1,45,1941,31
data016.mat,2,1,7,1745,5
data016.mat,3,1,3,1295,12
data016.mat,4,1,9,1552,18
data017.mat,1,1,1,1314,366
data017.mat,2,1,1,1020,176
data017.mat,3,1,0,769,66
data018.mat,1,1,4,856,157
data018.mat,2,1,4,1591,599
data018.mat,3,1,39,864,26
data019.mat,1,1,3,847,25
data019.mat,2,1,2,1241,46
data020.mat,1,1,0,1239,309
data020.mat,2,1,1,1254,66
data020.mat,3,1,3,1171,13
data021.mat,1,1,2,1676,1
data021.mat,2,1,2,1140,14
data021.mat,3,1,0,2363,500
data022.mat,1,1,1,909,196
data022.mat,2,1,1,1179,228
data022.mat,3,1,1,994,52
data022.mat,4,1,0,985,228
data022.mat,5,1,3,1098,1
data023.mat,1,1,3,1395,0
data023.mat,2,1,15,1693,500
data024.mat,1,1,2,302,0
data024.mat,2,1,5,234,0
data024.mat,3,1,22,1552,24
