dataFile,objNum,isGood,cy.RNA,GAPDH.RNA
data001.mat,1,0,7,1
data001.mat,2,1,3,170
data002.mat,1,1,7,197
data002.mat,2,1,16,398
data002.mat,3,1,34,284
data003.mat,1,1,5,28
data004.mat,1,1,7,404
data004.mat,2,1,39,394
data004.mat,3,1,12,72
data005.mat,1,0,1,278
data005.mat,2,1,1,143
data006.mat,1,1,3,154
data006.mat,2,0,11,57
data006.mat,3,1,55,159
data007.mat,1,1,125,432
data008.mat,1,1,101,478
data008.mat,2,1,82,304
data008.mat,3,1,17,21
data008.mat,4,0,4,73
