dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data001.mat,1,1,0,30,388,1083
data001.mat,2,1,1,527,69,842
data001.mat,3,1,0,11,133,833
data001.mat,4,1,2,54,36,698
data001.mat,5,0,0,29,0,459
data001.mat,6,0,825,554,167,537
data001.mat,7,0,628,755,328,528
data002.mat,1,0,3,12,457,935
data003.mat,1,1,0,171,101,991
data004.mat,1,1,0,381,605,936
data004.mat,2,1,1,91,802,967
data004.mat,3,1,2,320,949,1142
data004.mat,4,1,1,348,872,1271
data004.mat,5,1,0,68,691,1130
data004.mat,6,1,0,73,578,1497
data004.mat,7,1,0,102,1073,1208
data005.mat,1,1,0,232,385,882
data005.mat,2,1,9,98,555,974
data005.mat,3,1,1,545,1361,1442
data008.mat,1,1,1,11,237,925
data008.mat,2,1,0,64,168,678
data008.mat,3,1,1,46,154,788
data008.mat,4,0,2194,199,687,967
data008.mat,5,1,1,51,107,1145
data008.mat,6,0,1751,1697,543,930
data008.mat,7,1,4,144,604,503
data009.mat,1,1,2,497,397,1218
data009.mat,2,1,0,174,117,813
data009.mat,3,0,198,313,743,1167
data009.mat,4,1,2,15,267,695
data009.mat,5,1,0,57,7,813
data009.mat,6,1,3,24,169,1485
data009.mat,7,1,7,9,229,775
data010.mat,1,1,1,218,341,994
data010.mat,2,1,0,24,596,949
data010.mat,3,1,2,17,447,793
data010.mat,4,1,2,267,550,1296
data010.mat,5,0,0,561,517,670
data011.mat,1,1,0,178,193,1398
data011.mat,2,1,1,165,237,865
data011.mat,3,1,3,38,1,897
data011.mat,4,1,1,83,13,1410
data011.mat,5,1,0,185,374,1230
data012.mat,1,1,1,497,96,869
data012.mat,2,1,0,249,32,1281
data012.mat,3,1,1,122,107,933
data013.mat,1,1,0,168,202,707
data013.mat,2,1,0,67,190,816
data013.mat,3,1,3,329,513,1392
data014.mat,1,1,5,678,333,1304
data014.mat,2,1,1,162,302,732
data014.mat,3,1,11,225,161,977
data014.mat,4,1,2,217,251,908
data015.mat,1,1,2,130,67,1029
data015.mat,2,1,0,136,101,1506
data016.mat,1,1,1,201,405,1301
data016.mat,2,1,0,21,95,1140
data016.mat,3,1,0,30,94,1221
data016.mat,4,1,2,64,70,793
data016.mat,5,1,1,138,369,751
data017.mat,1,1,3,30,232,903
data017.mat,2,0,4,324,254,903
data017.mat,3,0,4,47,896,1609
data017.mat,4,1,1,138,557,841
data017.mat,5,1,0,82,77,752
data017.mat,6,1,0,37,193,812
data017.mat,7,1,5,63,362,968
data018.mat,1,1,12,82,519,683
data018.mat,2,1,0,49,440,675
data018.mat,3,1,0,155,232,858
data018.mat,4,1,0,24,440,1369
data019.mat,1,1,3,48,382,700
data019.mat,2,1,1,194,44,770
data019.mat,3,1,0,78,379,693
data019.mat,4,0,21,862,285,961
data019.mat,5,1,0,49,67,1295
data019.mat,6,1,0,38,230,913
data020.mat,1,1,2,266,154,1369
data020.mat,2,1,2,704,168,1049
data020.mat,3,1,2,209,6,1101
data020.mat,4,1,6,389,327,821
data020.mat,5,1,2,294,57,835
data020.mat,6,1,0,313,26,724
data020.mat,7,1,0,282,12,1031
data021.mat,1,1,0,181,226,705
data021.mat,2,0,0,280,287,692
data021.mat,3,1,8,349,806,1310
data021.mat,4,1,1,268,168,1229
data021.mat,5,1,0,269,334,592
data021.mat,6,1,1,252,279,678
data022.mat,1,1,0,604,334,1201
data022.mat,2,1,0,52,310,1278
