objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,171,95,80,215
1,2,true,194,121,86,291
1,3,true,280,105,98,434
1,4,true,268,136,118,470
2,1,true,99,87,234,22
2,2,true,84,106,149,92
2,3,true,78,101,153,83
2,4,true,41,170,815,53
2,5,true,43,179,925,25
2,6,false,27,131,8,0
3,1,true,51,171,166,24
3,2,true,69,242,190,7
3,3,true,79,150,129,27
4,1,true,253,172,274,20
4,2,true,280,155,439,10
4,3,true,444,228,810,100
4,4,true,413,121,349,171
4,5,true,505,319,548,370
5,1,true,764,278,518,318
5,2,true,573,254,560,231
5,3,true,47,62,118,0
5,4,true,786,537,804,594
5,5,true,652,556,849,733
5,6,true,197,159,176,201
6,1,true,75,133,470,302
6,2,true,23,105,365,216
6,3,true,15,71,48,11
6,4,true,349,177,236,162
6,5,true,340,153,374,109
7,1,true,27,124,247,123
7,2,true,18,152,113,118
7,3,true,129,121,111,294
7,4,true,131,109,198,317
7,5,true,163,151,230,0
8,1,true,59,84,257,109
8,2,true,45,88,297,100
8,3,true,379,246,641,417
8,4,true,38,94,193,82
8,5,true,27,93,200,80
9,1,true,525,295,479,483
9,2,true,494,224,498,529
9,3,true,270,141,244,5
9,4,true,281,200,268,0
9,5,true,124,97,168,4
9,6,true,130,118,177,0
10,1,true,26,71,223,0
10,2,true,77,100,312,0
10,3,true,42,98,292,1
10,4,true,21,64,46,46
10,5,true,131,40,64,4
10,6,true,386,151,292,109
10,7,true,374,250,447,222
10,8,true,529,294,626,318
