objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,251,76,1011,0
1,2,true,21,201,1206,5
2,1,true,313,361,970,1
2,2,true,83,284,1277,2
2,3,true,332,240,1067,4
3,1,true,2,30,993,1
3,2,true,64,144,697,13
3,3,true,61,76,666,1
3,4,true,424,154,989,2
4,1,true,861,126,1390,3
4,2,true,555,647,1064,2
5,1,true,0,143,1384,5
5,2,true,0,72,1867,1
5,3,true,1,130,950,1
6,1,true,40,126,990,0
6,2,true,1,202,1000,3
6,3,true,22,132,880,1
6,4,true,472,120,880,1
6,5,true,57,34,1174,0
7,1,true,154,66,695,0
7,2,true,18,62,721,0
7,3,true,0,105,944,2
7,4,true,320,357,520,1
7,5,false,26,51,539,2
8,1,true,190,39,659,2
8,2,true,75,166,565,1
8,3,true,372,232,658,1
8,4,true,184,257,1452,9
9,1,true,76,61,630,1
9,2,true,240,41,665,0
9,3,true,0,46,1113,0
9,4,true,245,144,794,3
10,1,true,0,132,684,1
10,2,true,965,269,993,2
10,3,true,299,157,1079,4
10,4,true,362,129,678,12
11,1,true,78,21,930,1
11,2,true,856,437,1599,5
12,1,true,278,55,795,0
12,2,true,69,26,744,2
12,3,true,833,545,1304,5
12,4,true,697,632,2147,2
13,1,true,243,77,640,1
13,2,true,218,92,742,2
13,3,true,72,246,980,0
13,4,true,519,276,904,4
14,1,true,63,10,873,0
14,2,true,8,59,969,7
14,3,true,0,123,1345,6
14,4,true,143,515,2047,4
14,5,true,42,86,767,2
15,1,true,104,143,1195,0
15,2,true,42,55,549,0
15,3,true,40,45,579,0
16,1,true,291,43,954,375
16,2,true,43,4,564,0
16,3,true,25,11,626,1
17,1,true,128,18,811,1
17,2,true,219,25,1132,0
17,3,true,350,11,918,0
17,4,true,95,8,662,1
18,1,true,0,2,882,6
18,2,true,108,765,1836,3
19,1,true,86,5,1217,3
19,2,true,55,3,729,2
19,3,true,156,120,629,0
20,1,true,293,68,485,3
20,2,true,108,29,778,1
20,3,true,226,33,1189,1
20,4,true,291,26,523,2
21,1,true,2,8,1284,1
21,2,true,372,252,774,2
21,3,true,4,0,1219,0
22,1,true,85,165,1421,0
22,2,true,1,1,430,0
22,3,true,1,6,634,0
23,1,true,3,1,754,0
23,2,true,7,0,583,0
24,1,true,47,38,476,0
24,2,true,110,26,526,0
25,1,true,27,4,1481,3
25,2,true,266,105,906,4
26,1,true,0,0,988,1
26,2,true,2,5,729,0
27,1,true,955,221,2313,4
27,2,true,17,9,637,8
28,1,true,164,7,1123,3
28,2,true,36,4,731,0
29,1,true,26,11,571,0
29,2,true,482,137,1204,4
30,1,true,363,55,915,4
30,2,true,303,122,862,1
31,1,true,167,774,1060,5
31,2,true,89,0,759,2
31,3,true,83,66,1700,13
32,1,true,4,3,770,0
32,2,true,5,0,838,1
32,3,true,1,9,795,0
33,1,true,135,18,853,2
33,2,true,200,7,827,2
33,3,true,302,14,932,1
34,1,true,104,108,685,3
34,2,true,40,2,697,2
34,3,true,35,7,634,0
