objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,324,218,1331,1
2,1,true,138,43,425,0
2,2,true,294,272,1090,1
2,3,true,2,3,1241,0
2,4,true,84,26,1119,1
2,5,true,252,113,879,3
3,1,true,252,122,685,27
3,2,true,153,66,899,2
3,3,true,302,70,822,10
3,4,true,298,140,693,7
4,1,true,522,27,1062,5
4,2,true,0,7,947,3
4,3,true,618,88,1040,11
4,4,true,421,83,1325,0
4,5,true,655,71,1091,7
5,1,true,380,714,1079,17
5,2,true,431,629,834,19
5,3,true,377,41,1091,15
5,4,true,1,1,886,0
5,5,true,0,1,717,0
5,6,true,0,0,855,1
6,1,true,733,943,1006,4
6,2,true,408,323,737,0
6,3,true,0,1,795,1
6,4,true,277,16,657,4
6,5,true,265,324,643,5
6,6,true,518,737,1048,8
7,1,true,411,70,710,6
7,2,true,2,7,1550,1
7,3,true,644,180,1056,7
7,4,true,364,65,511,4
7,5,true,398,24,866,0
7,6,true,312,9,658,4
8,1,true,284,168,1214,2
8,2,true,204,220,1163,1
8,3,true,1,6,1203,0
8,4,true,17,63,1149,2
10,1,true,219,25,462,2
10,2,true,175,48,745,4
10,3,true,201,18,508,2
11,1,true,233,165,625,25
11,2,true,2,1,862,3
11,3,true,96,32,844,0
11,4,true,855,264,1532,5
11,5,true,199,145,804,15
12,1,true,212,50,1040,5
12,2,true,343,22,1839,3
12,3,true,510,24,1227,5
13,1,true,121,77,776,3
13,2,true,127,35,931,2
13,3,true,129,9,857,0
13,4,true,37,33,1117,6
14,1,true,464,66,1005,16
14,2,true,741,49,1331,5
14,3,true,326,78,1121,1
15,1,true,2,13,766,0
15,2,true,1,10,814,0
15,3,true,1,25,753,0
15,4,true,847,72,1517,3
16,1,true,467,155,1342,0
16,2,true,335,0,915,9
16,3,true,565,179,1264,0
17,1,true,309,513,1571,3
17,2,true,346,60,648,4
17,3,true,287,94,706,16
17,4,true,604,24,1621,4
18,1,true,13,65,1067,0
18,2,true,321,66,725,0
18,3,true,107,41,837,0
19,1,true,203,25,1054,1
19,2,true,297,14,1094,6
19,3,true,481,180,987,7
20,1,true,63,8,652,0
20,2,true,68,1,837,2
20,3,true,85,5,1087,2
21,1,true,690,10,4053,7
22,1,false,464,163,889,3
22,2,true,538,275,1065,8
22,3,true,378,149,1611,1
22,4,true,162,6,899,7
22,5,true,493,231,653,4
23,1,true,3,3,1327,0
23,2,true,466,173,1350,6
23,3,true,1,4,1212,0
23,4,true,577,160,1452,9
24,1,true,0,4,925,0
24,2,true,397,7,1050,9
24,3,true,391,144,1026,9
24,4,true,393,75,1168,6
25,1,true,544,126,1462,1
25,2,true,5,3,1012,1
25,3,true,832,151,1658,14
25,4,true,661,123,1584,15
26,1,false,496,315,1500,3
26,2,true,550,350,900,17
26,3,true,300,36,799,6
26,4,true,274,25,1084,4
26,5,true,545,114,1392,13
28,1,false,1336,25,773,0
28,2,true,43,70,867,0
28,3,true,392,97,1358,4
29,1,true,632,347,1122,4
29,2,true,507,292,1142,2
29,3,true,403,99,983,3
30,1,true,410,129,599,9
30,2,true,95,4,687,0
30,3,true,336,120,481,3
31,1,true,621,61,1316,3
31,2,true,245,168,1326,2
31,3,true,566,261,1555,42
31,4,true,758,611,1152,1
32,1,true,566,175,879,8
32,2,true,648,204,962,10
32,3,true,598,3,795,2
32,4,true,487,3,1374,10
