objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,cy.Threshold
1,1,true,82,53,142,0,638.2491
1,2,true,108,63,89,2,411.1162
1,3,false,248,6,158,0,529.192
1,4,true,221,38,128,0,523.2294
1,5,true,57,40,49,0,560.8234
1,6,true,87,84,170,0,509.6815
1,7,true,25,7,57,0,545.7679
1,8,true,1,35,76,0,719.0573
1,9,true,3,35,87,1,999.6674
1,10,true,0,0,0,0,310.0385
1,11,true,0,0,0,0,316.2528
2,1,true,0,0,0,1,481.9777
2,2,true,0,3,18,1,601.6769
2,3,true,1,1,26,1,521.4346
2,4,true,12,12,75,0,575.2075
2,5,true,5,15,78,0,1025.4541
2,6,true,72,17,130,3,404.7328
2,7,true,126,19,46,1,527.0173
2,8,true,292,66,363,1,487.2164
2,9,true,174,79,45,1,728.6783
2,10,true,23,26,44,0,338.658
2,11,true,17,20,46,0,319.441
3,1,true,179,105,95,0,874.1063
3,2,true,213,41,73,0,412.7165
3,3,true,53,41,92,0,702.3565
3,4,true,54,53,69,0,733.5419
3,5,true,40,69,109,0,701.1998
3,6,true,63,22,23,0,554.8356
3,7,true,115,81,70,0,449.8546
3,8,true,197,1,59,0,464.9724
3,9,true,152,79,88,0,430.873
3,10,true,173,121,62,7,642.8267
3,11,true,3,37,63,0,546.3507
3,12,true,51,26,91,0,338.232
3,13,true,36,60,28,0,372.8091
3,14,true,27,34,0,0,449.2678
3,15,true,0,8,0,0,523.7673
3,16,true,0,7,0,0,531.5951
4,1,true,106,7,84,2,586.1676
4,2,true,107,16,126,1,434.316
4,3,true,147,110,83,0,408.6194
4,4,true,213,157,198,0,415.6712
4,5,true,52,0,105,0,524.2329
4,6,true,24,7,77,0,630.7408
4,7,true,100,10,97,0,624.1937
4,8,true,82,4,186,0,618.7327
4,9,true,115,1,71,0,602.4802
5,1,true,322,67,169,0,608.8906
5,2,true,299,31,167,0,741.3753
5,3,true,18,19,151,0,576.9673
5,4,true,14,25,206,0,500.3788
5,5,true,174,29,92,2,669.4141
5,6,true,179,28,28,1,527.4924
5,7,true,152,46,124,1,553.7415
5,8,true,22,38,0,0,392.6623
5,9,true,36,40,0,0,396.1896
5,10,true,10,69,5,0,504.9198
6,1,true,143,164,194,2,485.6066
6,2,true,258,120,91,0,534.0491
6,3,true,355,188,246,1,744.3162
6,4,true,0,28,0,0,476.3033
6,5,true,1,27,8,1,840.9877
