objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,202,391,352,1
1,2,true,199,292,255,2
1,3,true,108,392,143,1
1,4,true,93,348,146,1
1,5,true,12,155,237,1
1,6,true,15,118,181,0
1,7,true,20,195,119,0
1,8,true,97,245,170,0
1,9,true,77,375,141,1
2,1,true,18,1,183,0
2,2,true,14,431,210,0
2,3,true,2,263,258,0
2,4,true,3,257,132,0
2,5,true,59,318,309,0
2,6,true,66,166,234,2
2,7,true,106,310,426,1
2,8,true,50,196,255,0
3,1,true,65,378,214,6
3,2,true,193,607,359,20
3,3,true,42,6,294,0
3,4,true,9,8,470,0
3,5,true,50,97,7,0
3,6,true,139,289,1,0
4,1,true,27,2,294,0
4,2,true,16,5,281,1
4,3,true,46,67,327,0
4,4,true,38,34,297,0
4,5,true,16,1,148,0
4,6,true,10,0,77,1
4,7,true,16,11,222,0
4,8,false,211,310,90,57
4,9,true,192,388,181,43
5,1,true,1,104,135,0
5,2,true,1,102,210,0
6,1,true,35,104,145,0
6,2,true,25,252,179,0
6,3,true,10,7,333,0
6,4,true,10,552,20,0
6,5,true,27,58,95,0
6,6,true,53,81,83,0
6,7,true,83,21,31,0
6,8,true,96,166,20,1
7,1,true,3,78,132,0
7,2,true,13,235,180,0
7,3,true,0,9,199,0
7,4,true,0,31,164,0
7,5,true,51,8,179,0
7,6,true,45,79,435,0
8,1,true,3,232,49,1
9,1,true,25,7,125,0
9,2,true,18,7,150,0
9,3,true,86,15,244,2
9,4,true,2,96,21,0
9,5,true,9,178,103,0
10,1,true,0,297,450,0
10,2,true,0,137,206,0
10,3,true,1,486,364,2
10,4,true,11,2,84,0
10,5,true,54,0,170,0
10,6,true,0,428,256,0
